"STUDYID","DOMAIN","USUBJID","POOLID","FWSEQ","FWGRPID","FWTESTCD","FWTEST","FWORRES","FWORRESU","FWSTRESC","FWSTRESN","FWSTRESU","FWSTAT","FWREASND","FWEXCLFL","FWREASEX","FWDTC","FWENDTC","FWDY","FWENDY"
"GLP003","FW","107001472",NA,28,NA,"FC","Food Consumption","171.3","g","24.47",24.47,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:04:50","2007-07-03T14:14:28",15,22
"GLP003","FW","107001472",NA,29,NA,"FC","Food Consumption","148.1","g","24.68",24.68,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:14:28","2007-07-09T06:18:35",22,28
"GLP003","FW","107001472",NA,30,NA,"WC","Water Consumption","10.7","g","10.70",10.7,"g/animal/day",NA,NA,NA,NA,"2007-07-10T06:38:17","2007-07-11T08:14:24",29,30
"GLP003","FW","107001401",NA,31,NA,"FC","Food Consumption","214.1","g","30.59",30.59,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:55:36","2007-06-19T08:04:59",1,8
"GLP003","FW","107001401",NA,32,NA,"FC","Food Consumption","225.0","g","32.14",32.14,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:04:59","2007-06-26T08:05:08",8,15
"GLP003","FW","107001401",NA,33,NA,"FC","Food Consumption","222.4","g","31.77",31.77,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:05:09","2007-07-03T14:15:10",15,22
"GLP003","FW","107001401",NA,34,NA,"FC","Food Consumption","189.9","g","31.65",31.65,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:15:10","2007-07-09T06:18:55",22,28
"GLP003","FW","107001401",NA,35,NA,"WC","Water Consumption","24.5","g","24.50",24.5,"g/animal/day",NA,NA,NA,NA,"2007-07-10T06:38:39","2007-07-11T08:14:35",29,30
"GLP003","FW","107001466",NA,36,NA,"FC","Food Consumption","203.9","g","29.13",29.13,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:55:45","2007-06-19T08:05:21",1,8
"GLP003","FW","107001466",NA,37,NA,"FC","Food Consumption","224.4","g","32.06",32.06,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:05:21","2007-06-26T08:05:24",8,15
"GLP003","FW","107001466",NA,38,NA,"FC","Food Consumption","235.7","g","33.67",33.67,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:05:24","2007-07-03T14:15:34",15,22
"GLP003","FW","107001466",NA,39,NA,"FC","Food Consumption","188.3","g","31.38",31.38,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:15:34","2007-07-09T06:19:04",22,28
"GLP003","FW","107001466",NA,40,NA,"WC","Water Consumption","24.9","g","24.90",24.9,"g/animal/day",NA,NA,NA,NA,"2007-07-10T06:38:53","2007-07-11T08:14:45",29,30
"GLP003","FW","107001428",NA,41,NA,"FC","Food Consumption","210.1","g","30.01",30.01,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:55:50","2007-06-19T08:05:48",1,8
"GLP003","FW","107001428",NA,42,NA,"FC","Food Consumption","217.7","g","31.10",31.1,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:05:48","2007-06-26T08:05:39",8,15
"GLP003","FW","107001428",NA,43,NA,"FC","Food Consumption","236.5","g","33.79",33.79,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:05:39","2007-07-03T14:15:59",15,22
"GLP003","FW","107001428",NA,44,NA,"FC","Food Consumption","202.4","g","33.73",33.73,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:15:59","2007-07-09T06:19:13",22,28
"GLP003","FW","107001428",NA,45,NA,"WC","Water Consumption","12.9","g","12.90",12.9,"g/animal/day",NA,NA,NA,NA,"2007-07-10T06:39:09","2007-07-11T08:14:54",29,30
"GLP003","FW","107001483",NA,46,NA,"FC","Food Consumption","167.6","g","23.94",23.94,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:55:58","2007-06-19T08:06:12",1,8
"GLP003","FW","107001483",NA,47,NA,"FC","Food Consumption","172.6","g","24.66",24.66,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:06:12","2007-06-26T08:05:59",8,15
"GLP003","FW","107001483",NA,48,NA,"FC","Food Consumption","178.7","g","25.53",25.53,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:05:59","2007-07-03T14:16:28",15,22
"GLP003","FW","107001483",NA,49,NA,"FC","Food Consumption","148.0","g","24.67",24.67,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:16:28","2007-07-09T06:19:24",22,28
"GLP003","FW","107001483",NA,50,NA,"WC","Water Consumption","10.0","g","10.00",10,"g/animal/day",NA,NA,NA,NA,"2007-07-10T06:39:24","2007-07-11T08:15:02",29,30
"GLP003","FW","107001397",NA,51,NA,"FC","Food Consumption","189.6","g","27.09",27.09,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:56:06","2007-06-19T08:06:34",1,8
"GLP003","FW","107001397",NA,52,NA,"FC","Food Consumption","199.5","g","28.50",28.5,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:06:34","2007-06-26T08:06:21",8,15
"GLP003","FW","107001397",NA,53,NA,"FC","Food Consumption","198.8","g","28.40",28.4,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:06:21","2007-07-03T14:17:03",15,22
"GLP003","FW","107001397",NA,54,NA,"FC","Food Consumption","165.9","g","27.65",27.65,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:17:03","2007-07-09T06:19:42",22,28
"GLP003","FW","107001397",NA,55,NA,"FC","Food Consumption","108.2","g","27.05",27.05,"g/animal/day",NA,NA,NA,NA,"2007-07-13T10:29:26","2007-07-17T07:46:20",32,36
"GLP003","FW","107001397",NA,56,NA,"FC","Food Consumption","152.0","g","25.33",25.33,"g/animal/day",NA,NA,NA,NA,"2007-07-17T07:46:20","2007-07-23T07:25:42",36,42
"GLP003","FW","107001397",NA,57,NA,"WC","Water Consumption","21.3","g","21.30",21.3,"g/animal/day",NA,NA,NA,NA,"2007-07-09T08:35:55","2007-07-10T07:59:27",28,29
"GLP003","FW","107001397",NA,58,NA,"WC","Water Consumption","19.3","g","19.30",19.3,"g/animal/day",NA,NA,NA,NA,"2007-07-23T08:42:10","2007-07-24T08:24:53",42,43
"GLP003","FW","107001467",NA,59,NA,"FC","Food Consumption","207.7","g","29.67",29.67,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:56:13","2007-06-19T08:07:02",1,8
"GLP003","FW","107001467",NA,60,NA,"FC","Food Consumption","205.9","g","29.41",29.41,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:07:02","2007-06-26T08:06:39",8,15
"GLP003","FW","107001467",NA,61,NA,"FC","Food Consumption","220.6","g","31.51",31.51,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:06:39","2007-07-03T14:17:30",15,22
"GLP003","FW","107001467",NA,62,NA,"FC","Food Consumption","190.5","g","31.75",31.75,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:17:30","2007-07-09T06:19:50",22,28
"GLP003","FW","107001467",NA,63,NA,"FC","Food Consumption","142.1","g","35.53",35.53,"g/animal/day",NA,NA,NA,NA,"2007-07-13T10:29:32","2007-07-17T07:46:50",32,36
"GLP003","FW","107001467",NA,64,NA,"FC","Food Consumption","212.5","g","35.42",35.42,"g/animal/day",NA,NA,NA,NA,"2007-07-17T07:46:50","2007-07-23T07:26:06",36,42
"GLP003","FW","107001467",NA,65,NA,"WC","Water Consumption","17.3","g","17.30",17.3,"g/animal/day",NA,NA,NA,NA,"2007-07-09T08:36:06","2007-07-10T07:59:41",28,29
"GLP003","FW","107001467",NA,66,NA,"WC","Water Consumption","19.4","g","19.40",19.4,"g/animal/day",NA,NA,NA,NA,"2007-07-23T08:42:37","2007-07-24T08:25:04",42,43
"GLP003","FW","107001387",NA,67,NA,"FC","Food Consumption","199.3","g","28.47",28.47,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:56:20","2007-06-19T08:07:39",1,8
"GLP003","FW","107001387",NA,68,NA,"FC","Food Consumption","207.7","g","29.67",29.67,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:07:39","2007-06-26T08:06:56",8,15
"GLP003","FW","107001387",NA,69,NA,"FC","Food Consumption","208.1","g","29.73",29.73,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:06:56","2007-07-03T14:17:59",15,22
"GLP003","FW","107001387",NA,70,NA,"FC","Food Consumption","183.5","g","30.58",30.58,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:17:59","2007-07-09T06:20:21",22,28
"GLP003","FW","107001387",NA,71,NA,"FC","Food Consumption","147.4","g","36.85",36.85,"g/animal/day",NA,NA,NA,NA,"2007-07-13T10:29:50","2007-07-17T07:47:16",32,36
"GLP003","FW","107001387",NA,72,NA,"FC","Food Consumption","198.5","g","33.08",33.08,"g/animal/day",NA,NA,NA,NA,"2007-07-17T07:47:17","2007-07-23T07:26:21",36,42
"GLP003","FW","107001387",NA,73,NA,"WC","Water Consumption","8.8","g","8.80",8.8,"g/animal/day",NA,NA,NA,NA,"2007-07-09T08:36:14","2007-07-10T08:00:02",28,29
"GLP003","FW","107001387",NA,74,NA,"WC","Water Consumption","12.1","g","12.10",12.1,"g/animal/day",NA,NA,NA,NA,"2007-07-23T08:42:53","2007-07-24T08:25:16",42,43
"GLP003","FW","107001384",NA,75,NA,"FC","Food Consumption","196.3","g","28.04",28.04,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:56:28","2007-06-19T08:08:09",1,8
"GLP003","FW","107001384",NA,76,NA,"FC","Food Consumption","207.1","g","29.59",29.59,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:08:09","2007-06-26T08:07:11",8,15
"GLP003","FW","107001384",NA,77,NA,"FC","Food Consumption","224.3","g","32.04",32.04,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:07:11","2007-07-03T14:18:22",15,22
"GLP003","FW","107001384",NA,78,NA,"FC","Food Consumption","173.3","g","28.88",28.88,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:18:22","2007-07-09T06:20:30",22,28
"GLP003","FW","107001384",NA,79,NA,"FC","Food Consumption","133.5","g","33.38",33.38,"g/animal/day",NA,NA,NA,NA,"2007-07-13T10:30:00","2007-07-17T07:47:37",32,36
"GLP003","FW","107001384",NA,80,NA,"FC","Food Consumption","197.5","g","32.92",32.92,"g/animal/day",NA,NA,NA,NA,"2007-07-17T07:47:37","2007-07-23T07:26:34",36,42
"GLP003","FW","107001384",NA,81,NA,"WC","Water Consumption","30.8","g","30.80",30.8,"g/animal/day",NA,NA,NA,NA,"2007-07-10T06:39:40","2007-07-11T08:15:13",29,30
"GLP003","FW","107001384",NA,82,NA,"WC","Water Consumption","26.0","g","26.00",26,"g/animal/day",NA,NA,NA,NA,"2007-07-23T08:43:05","2007-07-24T08:25:27",42,43
"GLP003","FW","107001423",NA,83,NA,"FC","Food Consumption","188.7","g","26.96",26.96,"g/animal/day",NA,NA,NA,NA,"2007-06-12T14:56:34","2007-06-19T08:09:12",1,8
"GLP003","FW","107001423",NA,84,NA,"FC","Food Consumption","208.1","g","29.73",29.73,"g/animal/day",NA,NA,NA,NA,"2007-06-19T08:09:12","2007-06-26T08:07:27",8,15
"GLP003","FW","107001423",NA,85,NA,"FC","Food Consumption","230.2","g","32.89",32.89,"g/animal/day",NA,NA,NA,NA,"2007-06-26T08:07:27","2007-07-03T14:18:47",15,22
"GLP003","FW","107001423",NA,86,NA,"FC","Food Consumption","187.9","g","31.32",31.32,"g/animal/day",NA,NA,NA,NA,"2007-07-03T14:18:47","2007-07-09T06:20:39",22,28
"GLP003","FW","107001423",NA,87,NA,"WC","Water Consumption","25.7","g","25.70",25.7,"g/animal/day",NA,NA,NA,NA,"2007-07-10T06:39:54","2007-07-11T08:15:22",29,30
"GLP003","FW","107001423",NA,88,NA,"WC","Water Consumption","37","g","37.0",37,"g/animal/day",NA,NA,NA,NA,"2007-07-23T08:43:18","2007-07-24T08:25:38",42,43
"GLP003","FW","107001529",NA,89,NA,"FC","Food Consumption","153.0","g","21.86",21.86,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:14:20","2007-06-21T08:28:45",1,8
"GLP003","FW","107001529",NA,90,NA,"FC","Food Consumption","132.4","g","18.91",18.91,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:28:45","2007-06-28T08:04:02",8,15
"GLP003","FW","107001529",NA,91,NA,"FC","Food Consumption","149.3","g","21.33",21.33,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:04:02","2007-07-05T13:11:37",15,22
"GLP003","FW","107001529",NA,92,NA,"FC","Food Consumption","108.0","g","18.00",18,"g/animal/day",NA,NA,NA,NA,"2007-07-05T13:11:37","2007-07-11T06:13:13",22,28
"GLP003","FW","107001529",NA,93,NA,"WC","Water Consumption","13.1","g","13.10",13.1,"g/animal/day",NA,NA,NA,NA,"2007-07-11T06:37:02","2007-07-12T08:17:11",28,29
"GLP003","FW","107001528",NA,94,NA,"FC","Food Consumption","152.6","g","21.80",21.8,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:14:26","2007-06-21T08:28:59",1,8
"GLP003","FW","107001528",NA,95,NA,"FC","Food Consumption","158.5","g","22.64",22.64,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:28:59","2007-06-28T08:04:21",8,15
"GLP003","FW","107001528",NA,96,NA,"FC","Food Consumption","167.1","g","23.87",23.87,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:04:21","2007-07-05T13:11:58",15,22
"GLP003","FW","107001528",NA,97,NA,"FC","Food Consumption","118.7","g","19.78",19.78,"g/animal/day",NA,NA,NA,NA,"2007-07-05T13:11:58","2007-07-11T06:13:30",22,28
"GLP003","FW","107001528",NA,98,NA,"WC","Water Consumption","26.8","g","26.80",26.8,"g/animal/day",NA,NA,NA,NA,"2007-07-11T06:37:13","2007-07-12T08:17:23",28,29
"GLP003","FW","107001576",NA,99,NA,"FC","Food Consumption","141.1","g","20.16",20.16,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:14:35","2007-06-21T08:29:13",1,8
"GLP003","FW","107001576",NA,100,NA,"FC","Food Consumption","147.7","g","21.10",21.1,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:29:13","2007-06-28T08:04:37",8,15
"GLP003","FW","107001576",NA,101,NA,"FC","Food Consumption","153.2","g","21.89",21.89,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:04:37","2007-07-05T13:12:14",15,22
"GLP003","FW","107001576",NA,102,NA,"FC","Food Consumption","108.0","g","18.00",18,"g/animal/day",NA,NA,NA,NA,"2007-07-05T13:12:14","2007-07-11T06:13:43",22,28
"GLP003","FW","107001576",NA,103,NA,"WC","Water Consumption","12.9","g","12.90",12.9,"g/animal/day",NA,NA,NA,NA,"2007-07-11T06:37:37","2007-07-12T08:17:33",28,29
"GLP003","FW","107001616",NA,104,NA,"FC","Food Consumption","151.9","g","21.70",21.7,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:14:44","2007-06-21T08:29:26",1,8
"GLP003","FW","107001616",NA,105,NA,"FC","Food Consumption","155.6","g","22.23",22.23,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:29:26","2007-06-28T08:05:12",8,15
"GLP003","FW","107001616",NA,106,NA,"FC","Food Consumption","145.2","g","20.74",20.74,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:05:12","2007-07-05T13:12:32",15,22
"GLP003","FW","107001616",NA,107,NA,"FC","Food Consumption","118.7","g","19.78",19.78,"g/animal/day",NA,NA,NA,NA,"2007-07-05T13:12:32","2007-07-11T06:14:01",22,28
"GLP003","FW","107001616",NA,108,NA,"WC","Water Consumption","7.7","g","7.70",7.7,"g/animal/day",NA,NA,NA,NA,"2007-07-11T06:37:57","2007-07-12T08:17:43",28,29
"GLP003","FW","107001500",NA,109,NA,"FC","Food Consumption","129.5","g","18.50",18.5,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:15:04","2007-06-21T08:29:40",1,8
"GLP003","FW","107001500",NA,110,NA,"FC","Food Consumption","136.8","g","19.54",19.54,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:29:40","2007-06-28T08:05:27",8,15
"GLP003","FW","107001500",NA,111,NA,"FC","Food Consumption","147.5","g","21.07",21.07,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:05:28","2007-07-05T13:15:25",15,22
"GLP003","FW","107001500",NA,112,NA,"FC","Food Consumption","105.4","g","17.57",17.57,"g/animal/day",NA,NA,NA,NA,"2007-07-05T13:15:25","2007-07-11T06:14:11",22,28
"GLP003","FW","107001500",NA,113,NA,"WC","Water Consumption","4.7","g","4.70",4.7,"g/animal/day",NA,NA,NA,NA,"2007-07-11T06:38:14","2007-07-12T08:17:56",28,29
"GLP003","FW","107001535",NA,114,NA,"FC","Food Consumption","143.0","g","20.43",20.43,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:15:14","2007-06-21T08:29:54",1,8
"GLP003","FW","107001535",NA,115,NA,"FC","Food Consumption","154.5","g","22.07",22.07,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:29:54","2007-06-28T08:05:45",8,15
"GLP003","FW","107001535",NA,116,NA,"FC","Food Consumption","159.1","g","22.73",22.73,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:05:45","2007-07-05T13:15:46",15,22
"GLP003","FW","107001535",NA,117,NA,"FC","Food Consumption","129.3","g","21.55",21.55,"g/animal/day",NA,NA,NA,NA,"2007-07-05T13:15:46","2007-07-11T06:14:29",22,28
"GLP003","FW","107001535",NA,118,NA,"WC","Water Consumption","12.8","g","12.80",12.8,"g/animal/day",NA,NA,NA,NA,"2007-07-12T06:45:11","2007-07-13T08:08:48",29,30
"GLP003","FW","107001647",NA,119,NA,"FC","Food Consumption","149.8","g","21.40",21.4,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:15:22","2007-06-21T08:30:18",1,8
"GLP003","FW","107001647",NA,120,NA,"FC","Food Consumption","161.2","g","23.03",23.03,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:30:18","2007-06-28T08:06:10",8,15
"GLP003","FW","107001647",NA,121,NA,"FC","Food Consumption","169","g","24.1",24.1,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:06:11","2007-07-05T13:16:04",15,22
"GLP003","FW","107001647",NA,122,NA,"FC","Food Consumption","118.0","g","19.67",19.67,"g/animal/day",NA,NA,NA,NA,"2007-07-05T13:16:04","2007-07-11T06:14:43",22,28
"GLP003","FW","107001647",NA,123,NA,"WC","Water Consumption","3.8","g","3.80",3.8,"g/animal/day",NA,NA,NA,NA,"2007-07-12T06:45:22","2007-07-13T08:09:02",29,30
"GLP003","FW","107001592",NA,124,NA,"FC","Food Consumption","137.9","g","19.70",19.7,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:15:31","2007-06-21T08:30:39",1,8
"GLP003","FW","107001592",NA,125,NA,"FC","Food Consumption","139.1","g","19.87",19.87,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:30:39","2007-06-28T08:06:26",8,15
"GLP003","FW","107001592",NA,126,NA,"FC","Food Consumption","138.7","g","19.81",19.81,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:06:26","2007-07-05T13:16:22",15,22
"GLP003","FW","107001592",NA,127,NA,"FC","Food Consumption","107.7","g","17.95",17.95,"g/animal/day",NA,NA,NA,NA,"2007-07-05T13:16:22","2007-07-11T06:14:57",22,28
"GLP003","FW","107001592",NA,128,NA,"WC","Water Consumption","8.2","g","8.20",8.2,"g/animal/day",NA,NA,NA,NA,"2007-07-12T06:45:34","2007-07-13T08:09:12",29,30
"GLP003","FW","107001569",NA,129,NA,"FC","Food Consumption","150.5","g","21.50",21.5,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:15:41","2007-06-21T08:30:52",1,8
"GLP003","FW","107001569",NA,130,NA,"FC","Food Consumption","165.2","g","23.60",23.6,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:30:52","2007-06-28T08:06:39",8,15
"GLP003","FW","107001569",NA,131,NA,"FC","Food Consumption","167.5","g","23.93",23.93,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:06:39","2007-07-05T13:16:40",15,22
"GLP003","FW","107001569",NA,132,NA,"FC","Food Consumption","123.4","g","20.57",20.57,"g/animal/day",NA,NA,NA,NA,"2007-07-05T13:16:40","2007-07-11T06:15:10",22,28
"GLP003","FW","107001569",NA,133,NA,"WC","Water Consumption","9.1","g","9.10",9.1,"g/animal/day",NA,NA,NA,NA,"2007-07-12T06:45:49","2007-07-13T08:09:21",29,30
"GLP003","FW","107001537",NA,134,NA,"FC","Food Consumption","129.0","g","18.43",18.43,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:15:50","2007-06-21T08:31:07",1,8
"GLP003","FW","107001537",NA,135,NA,"FC","Food Consumption","150.9","g","21.56",21.56,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:31:07","2007-06-28T08:06:50",8,15
"GLP003","FW","107001537",NA,136,NA,"FC","Food Consumption","155.7","g","22.24",22.24,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:06:50","2007-07-05T13:17:04",15,22
"GLP003","FW","107001537",NA,137,NA,"FC","Food Consumption","117.4","g","19.57",19.57,"g/animal/day",NA,NA,NA,NA,"2007-07-05T13:17:04","2007-07-11T06:15:22",22,28
"GLP003","FW","107001537",NA,138,NA,"WC","Water Consumption","7.1","g","7.10",7.1,"g/animal/day",NA,NA,NA,NA,"2007-07-12T06:46:04","2007-07-13T08:09:31",29,30
"GLP003","FW","107001594",NA,139,NA,"FC","Food Consumption","127.7","g","18.24",18.24,"g/animal/day",NA,NA,NA,NA,"2007-06-14T07:15:57","2007-06-21T08:31:29",1,8
"GLP003","FW","107001594",NA,140,NA,"FC","Food Consumption","146.7","g","20.96",20.96,"g/animal/day",NA,NA,NA,NA,"2007-06-21T08:31:29","2007-06-28T08:07:06",8,15
"GLP003","FW","107001594",NA,141,NA,"FC","Food Consumption","165.4","g","23.63",23.63,"g/animal/day",NA,NA,NA,NA,"2007-06-28T08:07:06","2007-07-05T13:17:21",15,22
