"STUDYID","DOMAIN","USUBJID","DSSEQ","DSTERM","DSDECOD","VISITDY","DSSTDTC","DSSTDY"
"GLP003","DS","107001473",45,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:56:27",43
"GLP003","DS","107001525",46,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:00:05",29
"GLP003","DS","107001541",47,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:00:11",29
"GLP003","DS","107001579",48,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:00:15",29
"GLP003","DS","107001534",49,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:00:23",29
"GLP003","DS","107001629",50,"Moribund sacrifice","MORIBUND SACRIFICE",NA,"2007-06-21T09:21:28",8
"GLP003","DS","107001511",51,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:00:28",29
"GLP003","DS","107001620",52,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:34:49",30
"GLP003","DS","107001641",53,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:01",30
"GLP003","DS","107001602",54,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:06",30
"GLP003","DS","107001513",55,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:11",30
"GLP003","DS","107001556",56,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:39:44",43
"GLP003","DS","107001561",57,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:39:50",43
"GLP003","DS","107001559",58,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:40:03",43
"GLP003","DS","107001609",59,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:40:10",43
"GLP003","DS","107001563",60,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:40:16",43
"GLP003","DS","107001441",61,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:33:44",29
"GLP003","DS","107001488",62,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:33:52",29
"GLP003","DS","107001431",63,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:33:58",29
"GLP003","DS","107001394",64,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:34:03",29
"GLP003","DS","107001480",65,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:34:10",29
"GLP003","DS","107001411",66,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:42:17",30
"GLP003","DS","107001433",67,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:42:23",30
"GLP003","DS","107001375",68,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:42:29",30
"GLP003","DS","107001381",69,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:42:34",30
"GLP003","DS","107001416",70,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:42:42",30
"GLP003","DS","107001386",71,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:56:34",43
"GLP003","DS","107001379",72,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:56:40",43
"GLP003","DS","107001432",73,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:56:46",43
"GLP003","DS","107001478",74,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:56:52",43
"GLP003","DS","107001491",75,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:56:57",43
"GLP003","DS","107001570",76,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:00:35",29
"GLP003","DS","107001618",77,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:00:41",29
"GLP003","DS","107001520",78,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:00:47",29
"GLP003","DS","107001553",79,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:00:52",29
"GLP003","DS","107001540",80,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:01:03",29
"GLP003","DS","107001562",81,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:17",30
"GLP003","DS","107001631",82,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:26",30
"GLP003","DS","107001499",83,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:32",30
"GLP003","DS","107001552",84,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:38",30
"GLP003","DS","107001505",85,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:45",30
"GLP003","DS","107001637",86,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:40:23",43
"GLP003","DS","107001612",87,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:40:29",43
"GLP003","DS","107001574",88,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:40:38",43
"GLP003","DS","107001519",89,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:40:47",43
"GLP003","DS","107001589",90,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:40:53",43
"GLP003","DS","107001447",91,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:34:15",29
"GLP003","DS","107001414",92,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:34:28",29
"GLP003","DS","107001400",93,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:34:34",29
"GLP003","DS","107001454",94,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:34:45",29
"GLP003","DS","107001393",95,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:34:51",29
"GLP003","DS","107001355",96,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:42:56",30
"GLP003","DS","107001426",97,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:43:01",30
"GLP003","DS","107001424",98,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:43:10",30
"GLP003","DS","107001438",99,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:43:20",30
"GLP003","DS","107001404",100,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:43:29",30
"GLP003","DS","107001482",101,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:57:03",43
"GLP003","DS","107001486",102,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:57:08",43
"GLP003","DS","107001398",103,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:57:18",43
"GLP003","DS","107001445",104,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:57:25",43
"GLP003","DS","107001399",105,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:57:31",43
"GLP003","DS","107001583",106,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:01:10",29
"GLP003","DS","107001517",107,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:01:14",29
"GLP003","DS","107001545",108,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:01:23",29
"GLP003","DS","107001547",109,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:01:28",29
"GLP003","DS","107001627",110,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:01:34",29
"GLP003","DS","107001565",111,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:50",30
"GLP003","DS","107001643",112,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:55",30
"GLP003","DS","107001515",113,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:35:59",30
"GLP003","DS","107001521",114,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:36:09",30
"GLP003","DS","107001508",115,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:36:16",30
"GLP003","DS","107001584",116,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:40:59",43
"GLP003","DS","107001566",117,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:41:09",43
"GLP003","DS","107001644",118,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:41:17",43
"GLP003","DS","107001587",119,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:41:25",43
"GLP003","DS","107001638",120,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:41:37",43
"GLP003","DS","107001449",121,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:34:58",29
"GLP003","DS","107001392",122,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:35:05",29
"GLP003","DS","107001495",123,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:35:11",29
"GLP003","DS","107001391",124,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:35:17",29
"GLP003","DS","107001477",125,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T11:35:22",29
"GLP003","DS","107001369",126,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:43:40",30
"GLP003","DS","107001461",127,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:45:57",30
"GLP003","DS","107001376",128,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:46:10",30
"GLP003","DS","107001420",129,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:46:20",30
"GLP003","DS","107001350",130,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-11T09:46:40",30
"GLP003","DS","107001474",131,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:57:41",43
"GLP003","DS","107001446",132,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:57:48",43
"GLP003","DS","107001485",133,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:58:00",43
"GLP003","DS","107001435",134,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:58:20",43
"GLP003","DS","107001383",135,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-24T09:58:27",43
"GLP003","DS","107001533",136,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:01:39",29
"GLP003","DS","107001617",137,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:01:46",29
"GLP003","DS","107001578",138,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:01:51",29
"GLP003","DS","107001571",139,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:02:02",29
"GLP003","DS","107001532",140,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:02:07",29
"GLP003","DS","107001522",141,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:36:21",30
"GLP003","DS","107001610",142,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:36:34",30
"GLP003","DS","107001504",143,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:36:48",30
"GLP003","DS","107001536",144,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:36:58",30
"GLP003","DS","107001633",145,"Terminal sacrifice","TERMINAL SACRIFICE",30,"2007-07-13T10:37:08",30
"GLP003","DS","107001628",146,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:41:42",43
"GLP003","DS","107001554",147,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:41:48",43
"GLP003","DS","107001598",148,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:41:53",43
"GLP003","DS","107001555",149,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:42:01",43
"GLP003","DS","107001588",150,"Planned recovery sacrifice","RECOVERY SACRIFICE",43,"2007-07-26T11:42:08",43
"GLP003","DS","107001374",151,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:30:55",29
"GLP003","DS","107001490",152,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:31:01",29
"GLP003","DS","107001487",153,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:31:07",29
"GLP003","DS","107001349",154,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:31:12",29
"GLP003","DS","107001358",155,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:31:20",29
"GLP003","DS","107001390",156,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:31:25",29
"GLP003","DS","107001459",157,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:31:30",29
"GLP003","DS","107001468",158,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:31:35",29
"GLP003","DS","107001360",159,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:31:43",29
"GLP003","DS","107001516",160,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:04:23",29
"GLP003","DS","107001607",161,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:04:28",29
"GLP003","DS","107001614",162,"Moribund sacrifice","MORIBUND SACRIFICE",NA,"2007-06-17T11:04:10",4
"GLP003","DS","107001580",163,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:04:33",29
"GLP003","DS","107001640",164,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:04:37",29
"GLP003","DS","107001573",165,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:04:43",29
"GLP003","DS","107001635",166,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:04:48",29
"GLP003","DS","107001597",167,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:04:53",29
"GLP003","DS","107001613",168,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:04:58",29
"GLP003","DS","107001373",169,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:31:48",29
"GLP003","DS","107001481",170,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:31:54",29
"GLP003","DS","107001457",171,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:32:03",29
"GLP003","DS","107001418",172,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:32:08",29
"GLP003","DS","107001479",173,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:32:13",29
"GLP003","DS","107001498",174,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:32:19",29
"GLP003","DS","107001371",175,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:32:24",29
"GLP003","DS","107001489",176,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:32:31",29
"GLP003","DS","107001451",177,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:32:37",29
"GLP003","DS","107001542",178,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:05:05",29
"GLP003","DS","107001639",179,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:05:10",29
"GLP003","DS","107001577",180,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:05:16",29
"GLP003","DS","107001551",181,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:05:23",29
"GLP003","DS","107001603",182,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:05:29",29
"GLP003","DS","107001648",183,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:05:34",29
"GLP003","DS","107001626",184,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:06:07",29
"GLP003","DS","107001606",185,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:05:58",29
"GLP003","DS","107001600",186,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:06:14",29
"GLP003","DS","107001407",187,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:32:45",29
"GLP003","DS","107001436",188,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:32:50",29
"GLP003","DS","107001395",189,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:32:56",29
"GLP003","DS","107001378",190,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:02",29
"GLP003","DS","107001464",191,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:10",29
"GLP003","DS","107001450",192,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:16",29
"GLP003","DS","107001471",193,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:21",29
"GLP003","DS","107001385",194,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:26",29
"GLP003","DS","107001367",195,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:33",29
"GLP003","DS","107001526",196,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:06:20",29
"GLP003","DS","107001634",197,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:06:25",29
"GLP003","DS","107001564",198,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:06:31",29
"GLP003","DS","107001575",199,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:06:37",29
"GLP003","DS","107001503",200,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:06:43",29
"GLP003","DS","107001527",201,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:06:48",29
"GLP003","DS","107001512",202,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:06:54",29
"GLP003","DS","107001601",203,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:06:59",29
"GLP003","DS","107001590",204,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:03",29
"GLP003","DS","107001352",205,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:38",29
"GLP003","DS","107001406",206,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:43",29
"GLP003","DS","107001442",207,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:47",29
"GLP003","DS","107001429",208,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:53",29
"GLP003","DS","107001409",209,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:33:58",29
"GLP003","DS","107001430",210,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:34:08",29
"GLP003","DS","107001444",211,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:34:15",29
"GLP003","DS","107001354",212,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:34:21",29
"GLP003","DS","107001402",213,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:34:26",29
"GLP003","DS","107001557",214,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:09",29
"GLP003","DS","107001572",215,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:14",29
"GLP003","DS","107001632",216,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:19",29
"GLP003","DS","107001550",217,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:24",29
"GLP003","DS","107001593",218,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:29",29
"GLP003","DS","107001596",219,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:33",29
"GLP003","DS","107001642",220,"Moribund sacrifice","MORIBUND SACRIFICE",NA,"2007-06-14T14:55:50",1
"GLP003","DS","107001586",221,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:39",29
"GLP003","DS","107001546",222,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:45",29
"GLP003","DS","107001623",223,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:50",29
"GLP003","DS","107001405",224,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:34:32",29
"GLP003","DS","107001463",225,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:34:39",29
"GLP003","DS","107001494",226,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:34:46",29
"GLP003","DS","107001453",227,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:34:58",29
"GLP003","DS","107001448",228,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:35:03",29
"GLP003","DS","107001413",229,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:35:09",29
"GLP003","DS","107001476",230,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:35:16",29
"GLP003","DS","107001380",231,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:35:22",29
"GLP003","DS","107001417",232,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-10T14:35:28",29
"GLP003","DS","107001548",233,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:07:55",29
"GLP003","DS","107001523",234,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:08:00",29
"GLP003","DS","107001611",235,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:08:04",29
"GLP003","DS","107001502",236,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:08:09",29
"GLP003","DS","107001510",237,"Terminal sacrifice","TERMINAL SACRIFICE",29,"2007-07-12T11:08:14",29
