"STUDYID","DOMAIN","USUBJID","POOLID","LBSEQ","LBGRPID","LBREFID","LBSPID","LBTESTCD","LBTEST","LBCAT","LBSCAT","LBORRES","LBORRESU","LBORNRLO","LBORNRHI","LBSTRESC","LBSTRESN","LBSTRESU","LBSTNRLO","LBSTNRHI","LBSTNRC","LBNRIND","LBSTAT","LBREASND","LBNAM","LBSPEC","LBANTREG","LBSPCCND","LBSPCUFL","LBLOC","LBLAT","LBDIR","LBPORTOT","LBMETHOD","LBBLFL","LBFAST","LBDRVFL","LBTOX","LBTOXGR","LBEXCLFL","LBREASEX","VISITDY","LBDTC","LBENDTC","LBDY","LBENDY","LBTPT","LBTPTNUM","LBELTM","LBTPTREF","LBRFTDTC"
"GLP003","LB","107001350",NA,16,NA,NA,NA,"BASO","Basophils","HEMATOLOGY",NA,"0.13","10^9/L",NA,NA,"0.13",0.13,"10^9/L",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,17,NA,NA,NA,"LGUNSCE","Large Unstained Cells","HEMATOLOGY",NA,"0.08","10^9/L",NA,NA,"0.08",0.08,"10^9/L",NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,18,NA,NA,NA,"ALT","Alanine Aminotransferase","SERUM CHEMISTRY",NA,"58","U/L",NA,NA,"58",58,"U/L",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,19,NA,NA,NA,"ALB","Albumin","SERUM CHEMISTRY",NA,"3.4","g/dL",NA,NA,"3.4",3.4,"g/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,20,NA,NA,NA,"ALBGLOB","Albumin/Globulin","SERUM CHEMISTRY",NA,"1.0","RATIO",NA,NA,"1.0",1,"RATIO",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,21,NA,NA,NA,"ALP","Alkaline Phosphatase","SERUM CHEMISTRY",NA,"156","U/L",NA,NA,"156",156,"U/L",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,22,NA,NA,NA,"AST","Aspartate Aminotransferase","SERUM CHEMISTRY",NA,"108","U/L",NA,NA,"108",108,"U/L",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,23,NA,NA,NA,"BUN","Blood Urea Nitrogen","SERUM CHEMISTRY",NA,"18","mg/dL",NA,NA,"18",18,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,24,NA,NA,NA,"CA","Calcium","SERUM CHEMISTRY",NA,"12.5","mg/dL",NA,NA,"12.5",12.5,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,25,NA,NA,NA,"CL","Chloride","SERUM CHEMISTRY",NA,"101","mEq/L",NA,NA,"101",101,"mEq/L",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,26,NA,NA,NA,"CHOL","Cholesterol","SERUM CHEMISTRY",NA,"82","mg/dL",NA,NA,"82",82,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,27,NA,NA,NA,"CREAT","Creatinine","SERUM CHEMISTRY",NA,"0.37","mg/dL",NA,NA,"0.37",0.37,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,28,NA,NA,NA,"GLOBUL","Globulin","SERUM CHEMISTRY",NA,"3.3","g/dL",NA,NA,"3.3",3.3,"g/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,29,NA,NA,NA,"GLUC","Glucose","SERUM CHEMISTRY",NA,"110","mg/dL",NA,NA,"110",110,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,30,NA,NA,NA,"K","Potassium","SERUM CHEMISTRY",NA,"5.0","mEq/L",NA,NA,"5.0",5,"mEq/L",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,31,NA,NA,NA,"PHOS","Phosphate","SERUM CHEMISTRY",NA,"7.6","mg/dL",NA,NA,"7.6",7.6,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,32,NA,NA,NA,"SODIUM","Sodium","SERUM CHEMISTRY",NA,"143","mEq/L",NA,NA,"143",143,"mEq/L",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,33,NA,NA,NA,"BILI","Bilirubin","SERUM CHEMISTRY",NA,"0.14","mg/dL",NA,NA,"0.14",0.14,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,34,NA,NA,NA,"PROT","Protein","SERUM CHEMISTRY",NA,"6.7","g/dL",NA,NA,"6.7",6.7,"g/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,35,NA,NA,NA,"TRIG","Triglycerides","SERUM CHEMISTRY",NA,"17","mg/dL",NA,NA,"17",17,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,36,NA,NA,NA,"APTT","Activated Partial Thromboplastin Time","COAGULATION",NA,"14.7","sec",NA,NA,"14.7",14.7,"sec",NA,NA,NA,NA,NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,37,NA,NA,NA,"PT","Prothrombin Time","COAGULATION",NA,"17.3","sec",NA,NA,"17.3",17.3,"sec",NA,NA,NA,NA,NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,38,NA,NA,NA,"FIBRINO","Fibrinogen","COAGULATION",NA,"297","mg/dL",NA,NA,"297",297,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T09:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,39,NA,NA,NA,"CLARITY","Clarity","URINALYSIS",NA,"CLEAR",NA,NA,NA,"CLEAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,40,NA,NA,NA,"COLOR","Color","URINALYSIS",NA,"YELLOW",NA,NA,NA,"YELLOW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,41,NA,NA,NA,"BILI","Bilirubin","URINALYSIS",NA,"NEGATIVE",NA,NA,NA,"NEGATIVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,"Atlas",NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,42,NA,NA,NA,"GLUC","Glucose","URINALYSIS",NA,"NEGATIVE",NA,NA,NA,"NEGATIVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,"Atlas, qualitative",NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,43,NA,NA,NA,"OCCBLD","Occult Blood","URINALYSIS",NA,"NEGATIVE",NA,NA,NA,"NEGATIVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,44,NA,NA,NA,"KETONES","Ketones","URINALYSIS",NA,"TRACE",NA,NA,NA,"TRACE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,45,NA,NA,NA,"PH","pH","URINALYSIS",NA,"6.0","pH",NA,NA,"6.0",6,"pH",NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,46,NA,NA,NA,"SPGRAV","Specific Gravity","URINALYSIS",NA,"1.026",NA,NA,NA,"1.026",1.026,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,47,NA,NA,NA,"UROBIL","Urobilinogen","URINALYSIS",NA,"0.2","mg/dL",NA,NA,"0.2",0.2,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,48,NA,NA,NA,"VOLUME","Volume","URINALYSIS",NA,"11","mL",NA,NA,"11",11,"mL",NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,49,NA,NA,NA,"ANISO","Anisocytes","HEMATOLOGY",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T10:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,50,NA,NA,NA,"RBCINCL","RBC Inclusions","HEMATOLOGY",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T10:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,51,NA,NA,NA,"PLATM","Platelet Morphology","HEMATOLOGY",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T10:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,52,NA,NA,NA,"POIKILO","Poikilocytes","HEMATOLOGY",NA,"4+",NA,NA,NA,"4+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T10:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,53,NA,NA,NA,"POLYCHR","Polychromasia","HEMATOLOGY",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T10:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,54,NA,NA,NA,"WBCMORPH","Leukocyte Cell Morphology","HEMATOLOGY",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WHOLE BLOOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T10:00:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,55,NA,NA,NA,"CYAMORPH","Amorphous Crystals","URINALYSIS",NA,"1+",NA,NA,NA,"1+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,56,NA,NA,NA,"BACT","Bacteria","URINALYSIS",NA,"2+",NA,NA,NA,"2+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,57,NA,NA,NA,"CYCACAR","Calcium Carbonate Crystals","URINALYSIS",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,58,NA,NA,NA,"CYCAOXA","Calcium Oxalate Crystals","URINALYSIS",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,59,NA,NA,NA,"EPIC","Epithelial Cells","URINALYSIS",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,60,NA,NA,NA,"CASTS","Casts","URINALYSIS",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,61,NA,NA,NA,"MISC","Miscellaneous Cell Types","URINALYSIS",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,62,NA,NA,NA,"CYTRPHOS","Triple Phosphate Crystals","URINALYSIS",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,63,NA,NA,NA,"SPERM","Spermatozoa","URINALYSIS",NA,"1+",NA,NA,NA,"1+",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,64,NA,NA,NA,"WBC","Leukocytes","URINALYSIS",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,65,NA,NA,NA,"RBC","Erythrocytes","URINALYSIS",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,66,NA,NA,NA,"CRYOTHER","Other Crystals","URINALYSIS",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T07:28:00",NA,30,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,67,NA,NA,NA,"PROT","Protein","URINALYSIS",NA,"65","mg/dL",NA,NA,"65",65,"mg/dL",NA,NA,NA,NA,NA,NA,NA,"URINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-10T14:20:00",NA,29,NA,NA,NA,NA,NA,NA
"GLP003","LB","107001350",NA,68,NA,NA,NA,"BICARB","Bicarbonate","SERUM CHEMISTRY",NA,"22","mmol/L",NA,NA,"22",22,"mmol/L",NA,NA,NA,NA,NA,NA,NA,"SERUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"2007-07-11T08:20:00",NA,30,NA,NA,NA,NA,NA,NA
