CDISC SEND Rule ID,Class,Domain,Variable,Plain Text Explanation of Condition/Rule,Condition,Rule,Cited Document,Cited Document Section,Cited Item,Cited Guidance,Release Notes
261,REL,POOLDEF,POOLID,A POOLID can only refer to one set of subjects.,,A POOLID can only refer to one set of subjects.,SENDIG v3.0,8.7,Text,"It is important to note that POOLID values are unique for a given set of subjects. While the same value of POOLID may not be re-used to refer to different sets of subjects, different POOLIDs may be used to refer to the same set of subjects.",
261,REL,POOLDEF,POOLID,A POOLID can only refer to one set of subjects.,,A POOLID can only refer to one set of subjects.,SENDIG v3.1,8.5,Text,"It is important to note that POOLID values are unique for a given set of subjects. While the same value of POOLID may not be re-used to refer to different sets of subjects, different POOLIDs may be used to refer to the same set of subjects.",Cited guidance reference updated; no implementation impact.
122,SPC,SE,NA,A record for each occurrence of an element experienced by a subject.,,One record in SE per occurrence of an element experienced per subject,SENDIG v3.0,5.3.1,Domain Table Header,"se.xpt, Subject Elements- Special-Purpose Domains, One record per element experienced per subject",
122,SPC,SE,NA,A record for each occurrence of an element experienced by a subject.,,One record in SE per occurrence of an element experienced per subject,SENDIG v3.1,5.3.1,Domain Table Header,"se.xpt, Subject Elements- Special-Purpose Domains, One record per element experienced per subject",
56.1,ALL,ALL,ALL,"A single value may represent a combination of multiple contributing items, delimited by slashes (“/”). In these cases, the combination is the collected value, the value analyzed, etc., not the individual contributing items composing the value.",A single value represents a combination of multiple contributing items and CDISC published Controlled Terminology applies to the value,"Multiple contributing items are separated by ""/""",SENDIG v3.1,4.3.6.1,Text,"A single value may represent a combination of multiple contributing items, delimited by slashes (“/”). In these cases, the combination is the collected value, the value analyzed, etc., not the individual contributing items composing the value.",Versioned to reflect cited guidance change. 
56,FND,"LB,MA,MI, OM, PC, TF",--SPEC,"A specimen may include multiple tissues which are analyzed together during an examination.  In these cases --SPEC is the CDISC published Controlled Terminology submission value format for each contributing tissue separated by a slash ""/"" (e.g., TESTIS/EPIDIDYMIS).",Multiple tissues are combined into a --SPEC,"--SPEC = CDISC published Controlled Terminology submission values for each tissue are separated by ""/""",SENDIG v3.0,4.3.6.1,Text,"A specimen may consist of multiple tissues which are analyzed together during an examination. When providing the --SPEC term for these cases, each contributing tissue should be included in its controlled terminology submission value format and concatenated to other tissues by a slash (""/"").",
265,"INT, EVT, FND",ALL,ALL,Additional SDTM 1.2 Identifier variables may be used in any domains based on the general observation class.  ,Variable does not exist in SENDIGv3.0  general observation class  domain table AND Variable exists in SDTMv1.2 Table of Identifiers,Variable can be used in domain,SENDIG v3.0,2.1 | 2.3,Text,"The same set of Identifier variables applies to all domains based on the general observation classes.; When preparing datasets based on the SENDIG domain models, sponsors must not add any variables other than specified Identifier variables (SDTM Table 2.2.4), Timing variables (SDTM Table 2.2.5), or Qualifier variables from the same general observation class (described in SDTM Tables 2.2.1-2.2.3).",
267,"INT, EVT, FND",ALL,ALL,Additional SDTM 1.2 Qualifier variables may be used in any domains based on the general observation class except when restricted by domain specific assumptions. ,Variable does not exist in SENDIGv3.0  general observation class  domain table AND Variable exists in the SDTM v1.2 general observation class table which is applicable to domain AND variable is not restricted by domain assumptions,Variable can be used in domain,SENDIG v3.0,2.1 | 2.3,Text,"Any additional Qualifier variables from the same general observation class may be added to a domain model except where restricted by specific domain assumptions. Use must be consistent with the description of the variable in the SDTM.  When preparing datasets based on the SENDIG domain models, sponsors must not add any variables other than specified Identifier variables (SDTM Table 2.2.4), Timing variables (SDTM Table 2.2.5), or Qualifier variables from the same general observation class (described in SDTM Tables 2.2.1-2.2.3).",
266,"INT, EVT, FND",ALL,ALL,Additional SDTM 1.2 Timing variables may be used in any domains based on the general observation class except when restricted by domain specific assumptions. ,Variable does not exist in SENDIGv3.0  general observation class  domain table AND Variable exists in SDTMv1.2 Table of Timing Variables AND variable is not restricted by domain assumptions,Variable can be used in domain,SENDIG v3.0,2.1 | 2.3,Text,"Any Timing variables are permissible for use in any submission dataset based on a general observation class except where restricted by specific domain assumptions. When preparing datasets based on the SENDIG domain models, sponsors must not add any variables other than specified Identifier variables (SDTM Table 2.2.4), Timing variables (SDTM Table 2.2.5), or Qualifier variables from the same general observation class (described in SDTM Tables 2.2.1-2.2.3).",
265.1,"INT, EVT, FND",ALL,ALL,Additional SDTM 1.5 Identifier variables may be used in any domains based on the general observation class.  ,Variable does not exist in SENDIG general observation class domain table AND Variable exists in SDTM 1.5 Table of Identifiers ,Variable can be used in domain,SENDIG v3.1,2.1 | 2.3,Text,"The same set of Identifier variables apply to all general observation classes. | When preparing datasets based on the SENDIG domain models, sponsors must not add any variables other than specified Identifier variables (SDTM (http://www.cdisc.org/sdtm) Table 2.2.4), Timing variables (SDTM Table 2.2.5), or Qualifier variables from the same general observation class (described in SDTM Tables 2.2.1-2.2.3).",Versioned to reflect cited guidance change. 
267.1,"INT, EVT, FND",ALL,ALL,Additional SDTM 1.5 Qualifier variables may be used in any domains based on the general observation class except when restricted by domain specific assumptions or listed in the SENDIG as prohibited for use in SEND. ,Variable does not exist in SENDIG general observation class domain table AND Variable exists in the SDTM v1.5  general observation class table which is applicable to domain AND variable is not restricted by domain assumptions AND variable is not listed as prohibited for use in SEND.,Variable can be used in domain,SENDIG v3.1,2.1 | 2.3,Text," Any additional Qualifier variables from the same general observation class may be added to a domain model, except for those variables not intended for use with SEND. | When preparing datasets based on the SENDIG domain models, sponsors must not add any variables other than specified Identifier variables (SDTM (http://www.cdisc.org/sdtm) Table 2.2.4), Timing variables (SDTM Table 2.2.5), or Qualifier variables from the same general observation class (described in SDTM Tables 2.2.1-2.2.3).",Versioned to reflect cited guidance change. 
266.1,"INT, EVT, FND",ALL,ALL,Additional SDTM 1.5 Timing variables may be used in any domains based on the general observation class except when restricted either by domain specific assumptions or listed in the SENDIG as prohibited for use in SEND.,Variable does not exist in SENDIG general observation class domain table AND Variable exists in SDTM 1.5 Table of Timing Variables AND variable is not restricted by domain assumptions AND variable is not listed as prohibited for use in SEND.,Variable can be used in domain,SENDIG v3.1,2.1 | 2.3,Text,"Any Timing variables are permissible for use in any submission dataset based on a general observation class, except for those variables not intended for use with SEND. | When preparing datasets based on the SENDIG domain models, sponsors must not add any variables other than specified Identifier variables (SDTM (http://www.cdisc.org/sdtm) Table 2.2.4), Timing variables (SDTM Table 2.2.5), or Qualifier variables from the same general observation class (described in SDTM Tables 2.2.1-2.2.3).",Versioned to reflect cited guidance change. 
NEW SEND RULE 297,SPC,"DM, CO, SE",ALL,"Additional variables not specified in the SENDIG description of the domain (including both the domain table and assumptions) may not be added to DM, CO, or SE.",,Additional variables not specified in the SENDIG description of the domain (including both the domain table and assumptions) may not be added.,SENDIG v3.1,2.2,Text,"The SDTM includes three types of special-purpose datasets, each of which has a fixed structure: ..Demographics (DM), Comments (CO), and Subject Elements (SE) include study data that do not conform to one of the three general observation classes. These are described in Section 5....",New rule identified from cited guidance.
NEW SEND RULE 299,REL,"RELREC, SUPP--, POOLDEF",ALL,"Additional variables not specified in the SENDIG description of the domain (including both the domain table and assumptions) may not be added to RELREC, SUPP--, and POOLDEF.",,"Additional variables not specified in the SENDIG description of the domain (including both the domain table and assumptions) may not be added to RELREC, SUPP--, and POOLDEF.",SENDIG v3.1,2.2,Text,"The SDTM includes three types of special-purpose datasets, each of which has a fixed structure: ...RELREC, SUPP--, and POOLDEF are relationship datasets. These are described in Section 8.",New rule identified from cited guidance.
NEW SEND RULE 298,TDM,"TE, TA, TX, TS",ALL,"Additional variables not specified in the SENDIG description of the domain (including both the domain table and assumptions) may not be added to TE, TA, TX, and TS.",,Additional variables not specified in the SENDIG description of the domain (including both the domain table and assumptions) may not be added.,SENDIG v3.1,2.2,Text,"The SDTM includes three types of special-purpose datasets, each of which has a fixed structure: ...Trial Design Model datasets, consisting of Trial Elements (TE), Trial Arms (TA), Trial Sets (TX), and Trial Summary (TS), contain information about the study design but do not contain subject data. These are described in Section 7...",New rule identified from cited guidance.
112.1,SPC,DM,"AGE,AGEU","AGE and AGEU can be calculated from the BRTHDTC and RFSTDTC.  If a calculation is used, the algorithm should be included in the Define-XML document.","AGE^= null AND AGE def:Origin/@Type = ""Derived""",Algorithm is included in the Define-XML document,SENDIG v3.0,5.1.1.1,Assumption 4.e,Sponsors may choose to derive AGE and AGEU using an algorithm involving BRTHDTC and RFSTDTC.  Sponsors should indicate how AGE was populated in the define file comments.,Condition updated.
112.1,SPC,DM,"AGE,AGEU","AGE and AGEU can be calculated from the BRTHDTC and RFSTDTC.  If a calculation is used, the algorithm should be included in the Define-XML document.","AGE^= null AND AGE def:Origin/@Type = ""Derived""",Algorithm is included in the Define-XML document,SENDIG v3.1,5.1.1.1,Assumption 4.e,Sponsors may choose to derive AGE and AGEU using an algorithm involving BRTHDTC and RFSTDTC.  Sponsors should indicate how AGE was populated in the define file comments.,Condition updated.
103,"SPC, TDM","DM,TS",AGETXT,AGETXT is used to present the age range in situations where the exact birthdate is not known.  If AGETXT is included both BRTHDTC and AGE should not be populated.,AGETXT ^=null,AGE = null AND BRTHDTC = null,SENDIG v3.0,5.1.1,AGETXT CDISC Notes,Populate only when BRTHDTC or AGE are not specified.,
103,"SPC, TDM","DM,TS",AGETXT,AGETXT is used to present the age range in situations where the exact birthdate is not known.  If AGETXT is included both BRTHDTC and AGE should not be populated.,AGETXT ^=null,AGE = null AND BIRTHDTC = null,SENDIG v3.1,5.1.1,AGETXT CDISC Notes,Populate only when BRTHDTC or AGE is not specified.,Cited guidance reference updated; no implementation impact.
102,"SPC, TDM","DM,TS",AGETXT,AGETXT is used to present the age range in situations where the exact birthdate is not known.  It should be presented in number-number format.,AGETXT^= null,AGETXT = number-number,SENDIG v3.0,5.1.1,AGETXT CDISC Notes,AGETXT is number-number,
102,"SPC, TDM","DM,TS",AGETXT,AGETXT is used to present the age range in situations where the exact birthdate is not known.  It should be presented in number-number format.,AGETXT^= null,AGETXT = number-number,SENDIG v3.1,5.1.1,AGETXT CDISC Notes,AGETXT is number-number,
104,"SPC, TDM","DM,TS",AGEU,"AGEU is the unit associated with AGE or AGETXT.  If either of those variables is populated, AGEU should be populated.",AGE ^= null OR AGETXT^= null,AGEU ^= null,SENDIG v3.0,5.1.1,AGEU CDISC Notes,AGEU:  Units associated with either AGE or AGETXT.,
104,"SPC, TDM","DM,TS",AGEU,"AGEU is the until associated with AGE or AGETXT.  If either of those variables is populated, AGEU should be populated.",AGE ^= null OR AGETXT^= null,AGEU ^= null,SENDIG v3.1,5.1.1,AGEU CDISC Notes,Units associated with AGE and AGETXT.,Cited guidance reference updated; no implementation impact.
272,ALL,ALL,ALL,All .xpt files are in SAS V5  Transport format.,,All .xpt files are in SAS V5  Transport format.,SENDIG v3.0,3.3,Text,Ensuring that the datasets are in SAS v5 Transport format.,Rule not applicable to SENDIG v3.1 and SENDIG v3.1.1.  
257,REL,SUPP--,QVAL,All records in the SUPP-- datasets must have a value for QVAL.,,QVAL ^= null,SENDIG v3.0,8.5,Text,All records in the SUPP-- datasets must have a value for QVAL.,
257,REL,SUPP--,QVAL,All records in the SUPP-- datasets must have a value for QVAL.,,QVAL ^= null,SENDIG v3.1,8.3,Text,All records in the SUPP-- datasets must have a value for QVAL.,Cited guidance reference updated; no implementation impact.
NEW SEND RULE 287,REL,RELREC,RELID,All records that are part of a single relationship share the same unique RELID.,Records are related,RELID must be identical,SENDIG v3.1,8.2.1,Assumption 2,"The value of RELID is chosen by the sponsor, but must be identical for all related records.",New cited guidance.
27.1,"SPC, TDM","DM, TA, TX",ARMCD,ARMCD value limited to 20 characters ,,ARMCD value length <= 20,SENDIG v3.0,4.2.1,Text,"ARMCD is limited to 20 characters, but does not have special character restrictions. The maximum length of ARMCD is longer than for other “short” variables to accommodate the kind of values that are likely to be needed for crossover studies.",Erroneous reference to TS has been removed.
27.1,"SPC, TDM","DM, TA, TX",ARMCD,ARMCD value limited to 20 characters ,,ARMCD value length <= 20,SENDIG v3.1,4.2.1,Text,"ARMCD is limited to 20 characters, but does not have special character restrictions. The maximum length of ARMCD is longer than for other “short” variables to accommodate the kind of values that are likely to be needed for crossover studies.",Erroneous reference to TS has been removed.
80,"INT, FND",ALL,"VISITDY, --DTC, --DY","At least one timing variable (ie: VISITDY, --DTC, --DY) should be provided if timepoints (--TPT) are used.",--TPT ^= null,VISITDY or --DTC or --DY ^= null,SENDIG v3.0,4.4.7,Text,"When using time points, at least one corresponding timing variable should be provided (e.g., VISITDY, --DTC, --DY).",Rule not applicable to SENDIG v3.1 and SENDIG v3.1.1.  
126,SPC,SE,SEENDTC,"Because there are no time gaps between Elements, the SEENDTC value for one element will always be the same as the SESTDTC value for the next Element.",Element is not the last Element for the subject,SEENDTC = SESTDTC for the next Element,SENDIG v3.0,5.3.1.1,Assumption 1,"There are, by definition, no time gaps between Elements; therefore, the value SEENDTC for one Element will always be the same as the value of SESTDTC for the next Element.  Each Element continues until the time at which the next Element begins.",Replaced by SEND Rule 283 in SENDIG v3.1 and SENDIG v3.1.1.
127,SPC,SE,SEENDTC,"Because there are no time gaps between Elements, the SEENDTC value for the last Element is the date of subject disposition.",Element is the last Element for the subject,SEENDTC = DS.DSSTDTC of the disposition,SENDIG v3.0,5.3.1.1,Assumption 1,"The Subject Elements domain allows the submission of data on the individual experience: the actual timing and sequence of Elements a subject experienced.  Please read Section 7.2 (Trial Elements) and Section 7.3 (Trial Arms), as these datasets define a study's planned Elements and describe the planned sequences of Elements for the Arms of the study. There are, by definition, no time gaps between Elements; therefore, the value of SEENDTC for one Element will always be the same as the value of SESTDTC for the next Element. Each Element continues until the time at which the next Element begins.",Replaced by SEND Rule 284 in SENDIG v3.1 and SENDIG v3.1.1.
151.1,FND,BG,BGDTC,BGDTC must be populated when BGTESTCD is representing Average Body Weight Gain.  ,"BGTESTCD = ""BWGAINA""",BGDTC ^= null,SENDIG v3.0,6.3.2,BGENDTC CDSIC Notes,Date/time of the end of the weight interval in ISO 8601 format.  This must be populated when BGTESTCD is BWGAINA.,Condition rule format updated. Rule not applicable to SENDIG v3.1 and SENDIG v3.1.1.  
152.1,FND,BG,BGENDTC,BGENDTC must be populated when BGTESTCD is representing Average Body Weight Gain.  ,"BGTESTCD = ""BWGAINA""",BGENDTC ^= null,SENDIG v3.0,6.3.2,BGENDTC CDSIC Notes,Date/time of the end of the weight interval in ISO 8601 format.  This must be populated when BGTESTCD is BWGAINA.,Condition format updated. Rule not applicable to SENDIG v3.1 and SENDIG v3.1.1.  
147,FND,ALL,--BLFL,"--BLFL value must either be ""Y"" or null",--BLFL ^= null,"--BLFL = ""Y""",SENDIG v3.0,6.3.1,BWBLFL CDISC Notes,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor-defined.,
147,FND,ALL,--BLFL,"--BLFL value must either be ""Y"" or null",--BLFL ^= null,"--BLFL = ""Y""",SENDIG v3.1,6.3.1,BWBLFL CDISC Notes,A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor-defined.,
NEW SEND RULE 295,FND,ALL," --STINT, --ENINT ",Both --STINT and --ENINT must be populated if one is populated or both --STINT and --ENINT must be null.,--STINT ^= null  OR --ENINT ^= null,--STINT ^= null  AND --ENINT ^= null,SENDIG v3.1,4.4.7.2.3,Text,"The --STINT and --ENINT definitively state the bounds of the evaluation and would represent the assessment interval consistently across sponsors, regardless of labeling style.",New cited guidance.
111,SPC,DM,BRTHDTC,BRTHDTC should be collected.   If BRTHDTC was not collected this variable should be left blank.  BRTHDTC should never be derived from another variable.,BRTHDTC ^= null,BRTHDTC ORIGIN = collected in the Define-XML document,SENDIG v3.0,5.1.1.1,Assumption 4.c,Data in BRTHDTC should never be derived from another variable.,
111,SPC,DM,BRTHDTC,BRTHDTC should be collected.   If BRTHDTC was not collected this variable should be left blank.  BRTHDTC should never be derived from another variable.,BRTHDTC ^= null,BRTHDTC ORIGIN = collected in the Define-XML document,SENDIG v3.1,5.1.1.1,Assumption 4.c,Data in BRTHDTC should never be derived from another variable.,
47,ALL,ALL,--CAT,--CAT should not be the same as  --DECOD or --BODSYS,--CAT ^= null,--CAT ^= --DECOD or --BODSYS,SENDIG v3.0,4.2.6,Text,Values for --CAT and --SCAT should not be redundant with the domain or dictionary classification provided by --DECOD and --BODSYS.,
47,ALL,ALL,--CAT,--CAT should not be the same as  --DECOD or --BODSYS,--CAT ^= null,--CAT ^= --DECOD or --BODSYS,SENDIG v3.1,4.2.6,Text,Values for --CAT and --SCAT should not be redundant with the domain or dictionary classification provided by --DECOD and --BODSYS.,
46,ALL,ALL,--CAT,--CAT should not be the same as the domain name,--CAT ^= null,--CAT ^= Domain Name,SENDIG v3.0,4.2.6,Text,Values for --CAT and --SCAT should not be redundant with the domain or dictionary classification provided by --DECOD and --BODSYS.,
46,ALL,ALL,--CAT,--CAT should not be the same as the domain name,--CAT ^= null,--CAT ^= Domain Name,SENDIG v3.1,4.2.6,Text,Values for --CAT and --SCAT should not be redundant with the domain or dictionary classification provided by --DECOD and --BODSYS.,
161,FND,CL,CLRESCAT,CLRESCAT is used for post collection categorization of results and should not be a duplication of CLTEST or CLSCAT which are considered categories at the time of collection.,,CLRESCAT ^= CLTEST AND CLRESCAT ^= CLSCAT,SENDIG v3.0,6.3.3.1,Assumption 3.c,CLRESCAT is used for post collection categorization of results and should not be a duplication of CLTEST or CLSCAT which are considered categories at the time of collection.,
161,FND,CL,CLRESCAT,CLRESCAT is used for post collection categorization of results and should not be a duplication of CLTEST or CLSCAT which are considered categories at the time of collection.,,CLRESCAT ^= CLTEST AND CLRESCAT ^= CLSCAT,SENDIG v3.1,6.3.3.1,Assumption 3.c,CLRESCAT is used for post collection categorization of results and should not be a duplication of CLTEST or CLSCAT which are considered categories at the time of collection.,
259,REL,CO,"RDOMAIN, IDVAR, IDVARVAL",Comments related only to a specific domain (and not to any specific record[s]) for a subject would populate RDOMAIN with the domain code for the domain with which they are associated; IDVAR and IDVARVAL would be null.,Comments related only to a specific domain,RDOMAIN ^= null AND IDVAR = null AND IDVARVAL = null,SENDIG v3.0,8.6,Text,Comments related only to a specific domain (and not to any specific record[s]) for a subject would populate RDOMAIN with the domain code for the domain with which they are associated; IDVAR and IDVARVAL would be null.,
259,REL,CO,"RDOMAIN, IDVAR, IDVARVAL",Comments related only to a specific domain (and not to any specific record[s]) for a subject would populate RDOMAIN with the domain code for the domain with which they are associated; IDVAR and IDVARVAL would be null.,Comments related only to a specific domain,RDOMAIN ^= null AND IDVAR = null AND IDVARVAL = null,SENDIG v3.1,8.4,Text,Comments related only to a specific domain (and not to any specific record[s]) for a subject would populate RDOMAIN with the domain code for the domain with which they are associated; IDVAR and IDVARVAL would be null.,Cited guidance reference updated; no implementation impact.
258,REL,CO,"RDOMAIN, IDVAR, USUBJID, POOLID, IDVARVAL","Comments related only to a subject in general would have RDOMAIN, IDVAR, IDVARVAL null, as the only key needed to identify the relationship/association to that subject is USUBJID (or POOLID in the case of comments on a pool of subjects).",Comments related only to a subject,"RDOMAIN, IDVAR, and IDVARVAL = null AND (USUBJID ^= null OR POOLID ^= null)",SENDIG v3.0,8.6,Text,"Comments related only to a subject in general would have RDOMAIN, IDVAR, IDVARVAL null, as the only key needed to identify the relationship/association to that subject is USUBJID (or POOLID in the case of comments on a pool of subjects).",
258.1,REL,CO,"RDOMAIN, IDVAR, USUBJID, POOLID, IDVARVAL","Comments related only to a subject in general would have RDOMAIN, IDVAR, IDVARVAL null, as the only key needed to identify the relationship/association to that subject is USUBJID (or POOLID in the case of comments on a pool of subjects).",Comments related only to a subject or pool,"RDOMAIN, IDVAR, and IDVARVAL = null AND (USUBJID ^= null OR POOLID ^= null)",SENDIG v3.1,8.4,Text,"Comments related only to a subject in general would have RDOMAIN, IDVAR, IDVARVAL null, as the only key needed to identify the relationship/association to that subject is USUBJID (or POOLID in the case of comments on a pool of subjects).",Updated cited guidance resulted in change to rule condition.
260,REL,CO,"RDOMAIN, IDVAR, IDVARVAL","Comments related to specific domain record(s) for a subject would populate the RDOMAIN, IDVAR, and IDVARVAL variables with values that identify the specific parent record(s).",Comments related to a specific record in a domain,"RDOMAIN, IDVAR, and IDVARVAL ^= null",SENDIG v3.0,8.6,Text,"Comments related to specific domain record(s) for a subject would populate the RDOMAIN, IDVAR, and IDVARVAL variables with values that identify the specific parent record(s).",
260,REL,CO,"RDOMAIN, IDVAR, IDVARVAL","Comments related to specific domain record(s) for a subject would populate the RDOMAIN, IDVAR, and IDVARVAL variables with values that identify the specific parent record(s).",Comments related to a specific record in a domain,"RDOMAIN, IDVAR, and IDVARVAL ^= null",SENDIG v3.1,8.4,Text,"Comments related to specific domain record(s) for a subject would populate the RDOMAIN, IDVAR, and IDVARVAL variables with values that identify the specific parent record(s).",Cited guidance reference updated; no implementation impact.
NEW SEND RULE 336,FND,CV,ALL,"cv.xpt, Cardiovascular Findings. One record per test per observation time or evaluation interval per subject, Tabulation.",,"cv.xpt, Cardiovascular Findings. One record per test per observation time or evaluation interval per subject, Tabulation.",SENDIG v3.1,6.3.17,Domain Table Header,"cv.xpt, Cardiovascular Findings. One record per test per observation time or evaluation interval per subject, Tabulation.",New cited guidance.
86.1,FND,ALL,--ORRES,"Data should not be presented in the --ORRES variable if --STAT = ""NOT DONE"".","--STAT = ""NOT DONE""",--ORRES = null,SENDIG v3.0,4.5.1.1,Text,"--ORRES is an Expected variable and should always be populated except when --STAT = ""NOT DONE"".",Condition format updated.
86.1,FND,ALL,--ORRES,"Data should not be presented in the --ORRES variable if --STAT = ""NOT DONE"".","--STAT = ""NOT DONE""",--ORRES = null,SENDIG v3.1,4.5.1.1,Text,"--ORRES is an Expected variable and should always be populated except when --STAT = ""NOT DONE"".",Condition format updated.
248.1,TDM,TS,TSVAL,Dates or durations represented in TSVAL must be in the appropriate ISO 8601 format.,"TSPARMCD In (DOSDUR, EXPENDTC, EXPSTDTC, STSTDTC, TRMSAC, DOSENDTC, DOSSTDTC, INTSAC, SLENGTH, RECSAC, STENDTC)",TSVAL in ISO 8601 format,SENDIG v3.0,7.6.3,"Trial Summary Codes Table Controlled Terms, Codelist, or Format Column","See Controlled Terms, Codelist, or Format for TSPARM that include dates or durations.",Updated condition format.
248.1,TDM,TS,TSVAL,Dates or durations represented in TSVAL must be in the appropriate ISO 8601 format.,"TSPARMCD In (DOSDUR, EXPENDTC, EXPSTDTC, STSTDTC, TRMSAC, DOSENDTC, DOSSTDTC, INTSAC, SLENGTH, RECSAC, STENDTC)",TSVAL in ISO 8601 format,SENDIG v3.1,7.6.3,"Trial Summary Codes Table Controlled Terms, Codelist, or Format Column","See Controlled Terms, Codelist, or Format for TSPARM that include dates or durations.",Updated condition format.
164,FND,DD,DDTESTCD,DDTESTCD should always be DEATHD.,,"DDTESTCD = ""DEATHD""",SENDIG v3.0,6.3.4,DDTESTCD CDISC Notes,The value in DDTESTCD...In this domain the value should always be DEATHD.,Rule not applicable to SENDIG v3.1 and SENDIG v3.1.1. 
NEW SEND RULE 300,NA,NA,NA,Define-XML document should not include a description of an empty dataset.,Records are not present in dataset ,Empty dataset is not described in the Define-XML document,SENDIG v3.1,3.2.1,Text,"In the event that no records are present in a dataset, the empty dataset should not be submitted and should not be described in the data definition file.",New rule identified from cited guidance.
209,FND,EG,EGDRVFL,"Derived flag should only be used where there is, within a dataset, a test code that contains both collected and derived data. In this circumstance the Define-XML document will contain information that describes the reasons and approach.",Test code contains both collected and derived data,"EGDRVFL = ""Y"" for the derived records only and Define-XML document contains an explanation",SENDIG v3.0,6.3.16,EGDRVFL CDISC Notes,"EGDRVFL: Used to indicate a derived record. The value should be Y or null. Derived flag should only be used where there is, within a dataset, a test code that contains both collected and derived data. In this circumstance the data definition file will contain information that describes the reasons and approach.",Rule not applicable to SENDIG v3.1 and SENDIG v3.1.1.  
NEW SEND RULE 309,SPC,DM,SPECIES,DM records with different values for SPECIES cannot have the same SETCD value.,,DM records with different values for DM.SPECIES must have different values for DM.SETCD.,SENDIG v3.1,5.1.1.1,Assumption 6,Trial Sets (TX) can have multiple species and/or strains if they are different by set.,New rule identified from cited guidance.
