"STUDYID","DOMAIN","USUBJID","SUBJID","RFSTDTC","RFENDTC","SITEID","BRTHDTC","AGE","AGETXT","AGEU","SEX","SPECIES","STRAIN","SBSTRAIN","ARMCD","ARM","SETCD"
"PDS2014","DM","PDS2014-0119","119","2010-12-11","2010-12-13",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","15"
"PDS2014","DM","PDS2014-0117","117","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","15"
"PDS2014","DM","PDS2014-0118","118","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"09","F - Vehicle","15"
"PDS2014","DM","PDS2014-0121","121","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","16"
"PDS2014","DM","PDS2014-0122","122","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","16"
"PDS2014","DM","PDS2014-0123","123","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","16"
"PDS2014","DM","PDS2014-0124","124","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","16"
"PDS2014","DM","PDS2014-0125","125","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","16"
"PDS2014","DM","PDS2014-0126","126","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","16"
"PDS2014","DM","PDS2014-0127","127","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","16"
"PDS2014","DM","PDS2014-0128","128","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","16"
"PDS2014","DM","PDS2014-0129","129","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","16"
"PDS2014","DM","PDS2014-0130","130","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","16"
"PDS2014","DM","PDS2014-0131","131","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","17"
"PDS2014","DM","PDS2014-0132","132","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","17"
"PDS2014","DM","PDS2014-0133","133","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"11","F - Low","17"
"PDS2014","DM","PDS2014-0141","141","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","18"
"PDS2014","DM","PDS2014-0142","142","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","18"
"PDS2014","DM","PDS2014-0143","143","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","18"
"PDS2014","DM","PDS2014-0144","144","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","18"
"PDS2014","DM","PDS2014-0145","145","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","18"
"PDS2014","DM","PDS2014-0146","146","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","18"
"PDS2014","DM","PDS2014-0147","147","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","18"
"PDS2014","DM","PDS2014-0148","148","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","18"
"PDS2014","DM","PDS2014-0149","149","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","18"
"PDS2014","DM","PDS2014-0150","150","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","18"
"PDS2014","DM","PDS2014-0151","151","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","19"
"PDS2014","DM","PDS2014-0152","152","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","19"
"PDS2014","DM","PDS2014-0153","153","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"12","F - Medium","19"
"PDS2014","DM","PDS2014-0161","161","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","20"
"PDS2014","DM","PDS2014-0162","162","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","20"
"PDS2014","DM","PDS2014-0163","163","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","20"
"PDS2014","DM","PDS2014-0164","164","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","20"
"PDS2014","DM","PDS2014-0165","165","2010-12-11","2011-01-09",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","20"
"PDS2014","DM","PDS2014-0166","166","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","20"
"PDS2014","DM","PDS2014-0167","167","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","20"
"PDS2014","DM","PDS2014-0168","168","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","20"
"PDS2014","DM","PDS2014-0169","169","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","20"
"PDS2014","DM","PDS2014-0170","170","2010-12-11","2011-01-10",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","20"
"PDS2014","DM","PDS2014-0171","171","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"14","F - High - with recovery","21"
"PDS2014","DM","PDS2014-0172","172","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"14","F - High - with recovery","21"
"PDS2014","DM","PDS2014-0173","173","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"14","F - High - with recovery","21"
"PDS2014","DM","PDS2014-0174","174","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"14","F - High - with recovery","21"
"PDS2014","DM","PDS2014-0175","175","2010-12-11","2011-02-06",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"14","F - High - with recovery","21"
"PDS2014","DM","PDS2014-0176","176","2010-12-11","2011-01-11",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","22"
"PDS2014","DM","PDS2014-0177","177","2010-12-11","2011-01-11",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","22"
"PDS2014","DM","PDS2014-0178","178","2010-12-11","2011-01-11",NA,NA,0,NA,"DAYS","F","RAT","SPRAGUE-DAWLEY",NA,"13","F - High","22"
