"STUDYID","DOMAIN","USUBJID","POOLID","EXSEQ","EXTRT","EXDOSE","EXDOSTXT","EXDOSU","EXDOSFRM","EXDOSFRQ","EXROUTE","EXLOT","EXLOC","EXMETHOD","EXTRTV","EXVAMT","EXVAMTU","EXADJ","EXSTDTC","EXENDTC","EXSTDY","EXENDY","EXDUR","EXTPT","EXTPTNUM","EXELTM","EXTPTREF","EXRFTDTC"
"PDS2014","EX","PDS2014-0001",NA,17,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-27T09:51:38",NA,17,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,18,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-28T07:49:44",NA,18,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,19,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-29T09:23:11",NA,19,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,20,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-30T08:01:09",NA,20,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,21,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-31T08:45:18",NA,21,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,22,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-01T06:37:12",NA,22,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,23,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-02T08:11:16",NA,23,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,24,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-03T08:31:14",NA,24,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,25,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-04T08:20:51",NA,25,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,26,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-05T08:11:46",NA,26,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,27,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-06T08:49:48",NA,27,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,28,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-07T07:14:21",NA,28,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,29,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-08T07:12:41",NA,29,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0001",NA,30,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-09T07:40:43",NA,30,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,31,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-11T09:30:30",NA,1,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,32,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-12T10:28:27",NA,2,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,33,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-13T11:01:48",NA,3,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,34,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-14T09:45:24",NA,4,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,35,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-15T08:30:31",NA,5,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,36,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-16T08:52:05",NA,6,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,37,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-17T07:57:48",NA,7,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,38,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-18T07:48:53",NA,8,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,39,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-19T11:34:07",NA,9,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,40,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-20T10:50:42",NA,10,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,41,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-21T07:22:05",NA,11,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,42,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-22T08:01:26",NA,12,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,43,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-23T07:21:00",NA,13,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,44,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-24T07:51:30",NA,14,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,45,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-25T07:25:41",NA,15,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,46,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-26T07:04:38",NA,16,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,47,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-27T09:52:43",NA,17,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,48,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-28T07:48:33",NA,18,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,49,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-29T09:25:11",NA,19,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,50,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-30T08:00:03",NA,20,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,51,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-31T08:47:07",NA,21,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,52,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-01T06:37:59",NA,22,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,53,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-02T08:11:56",NA,23,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,54,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-03T08:31:50",NA,24,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,55,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-04T08:22:20",NA,25,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,56,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-05T08:13:28",NA,26,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,57,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-06T08:48:52",NA,27,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,58,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-07T07:14:46",NA,28,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,59,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-08T07:12:21",NA,29,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0002",NA,60,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-09T07:41:47",NA,30,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,61,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-11T09:30:09",NA,1,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,62,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-12T10:27:09",NA,2,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,63,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-13T11:01:06",NA,3,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,64,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-14T09:47:05",NA,4,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,65,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-15T08:29:45",NA,5,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,66,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-16T08:52:46",NA,6,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,67,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-17T07:56:32",NA,7,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,68,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-18T08:03:26",NA,8,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,69,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-19T11:34:45",NA,9,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,70,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-20T10:50:23",NA,10,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,71,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-21T07:21:09",NA,11,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,72,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-22T08:02:32",NA,12,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,73,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-23T07:20:39",NA,13,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,74,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-24T07:50:46",NA,14,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,75,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-25T07:26:39",NA,15,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,76,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-26T07:05:33",NA,16,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,77,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-27T09:53:04",NA,17,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,78,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-28T07:49:03",NA,18,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,79,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-29T09:25:46",NA,19,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,80,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-30T07:59:39",NA,20,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,81,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-31T08:46:35",NA,21,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,82,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-01T06:35:37",NA,22,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,83,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-02T08:12:21",NA,23,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,84,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-03T08:31:35",NA,24,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,85,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-04T08:22:50",NA,25,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,86,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-05T08:12:09",NA,26,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,87,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-06T08:48:11",NA,27,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,88,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-07T07:15:12",NA,28,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,89,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-08T07:08:29",NA,29,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0003",NA,90,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2011-01-09T07:43:24",NA,30,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0004",NA,91,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-11T09:24:44",NA,1,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0004",NA,92,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-12T10:27:40",NA,2,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0004",NA,93,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-13T11:01:30",NA,3,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0004",NA,94,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-14T09:46:20",NA,4,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0004",NA,95,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-15T08:31:08",NA,5,NA,NA,NA,NA,NA,NA,NA
"PDS2014","EX","PDS2014-0004",NA,96,"PDS-FAKEDRUG-111",0,NA,"mg/kg","SUSPENSION","QD","ORAL GAVAGE","ABCD1234",NA,NA,"methocell",NA,NA,NA,"2010-12-16T08:53:11",NA,6,NA,NA,NA,NA,NA,NA,NA
