"STUDYID","DOMAIN","USUBJID","SESEQ","ETCD","ELEMENT","SESTDTC","SEENDTC","SEUPDES"
"PDS2014","SE","PDS2014-0047",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0047",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-10T08:33:54",NA
"PDS2014","SE","PDS2014-0048",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0048",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-10T08:34:37",NA
"PDS2014","SE","PDS2014-0049",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0049",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-10T08:35:22",NA
"PDS2014","SE","PDS2014-0050",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0050",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-10T08:35:56",NA
"PDS2014","SE","PDS2014-0051",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0051",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-09T13:55:13",NA
"PDS2014","SE","PDS2014-0052",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0052",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-09T13:54:44",NA
"PDS2014","SE","PDS2014-0053",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0053",2,"05","M - Medium - TRM","2010-12-11T00:00:00","2011-01-09T13:55:56",NA
"PDS2014","SE","PDS2014-0061",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0061",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-09T08:35:38",NA
"PDS2014","SE","PDS2014-0062",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0062",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-09T08:36:35",NA
"PDS2014","SE","PDS2014-0063",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0063",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-09T08:38:01",NA
"PDS2014","SE","PDS2014-0064",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0064",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-09T08:38:56",NA
"PDS2014","SE","PDS2014-0065",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0065",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-09T08:40:22",NA
"PDS2014","SE","PDS2014-0066",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0066",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-10T08:41:45",NA
"PDS2014","SE","PDS2014-0067",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0067",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-10T08:42:20",NA
"PDS2014","SE","PDS2014-0068",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0068",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-10T08:43:13",NA
"PDS2014","SE","PDS2014-0069",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0069",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-10T08:44:02",NA
"PDS2014","SE","PDS2014-0070",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0070",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-10T08:44:51",NA
"PDS2014","SE","PDS2014-0071",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0071",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0071",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:56:22",NA
"PDS2014","SE","PDS2014-0072",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0072",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0072",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:58:38",NA
"PDS2014","SE","PDS2014-0073",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0073",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0073",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:59:52",NA
"PDS2014","SE","PDS2014-0074",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0074",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0074",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T08:01:05",NA
"PDS2014","SE","PDS2014-0075",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0075",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0075",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T08:02:14",NA
"PDS2014","SE","PDS2014-0076",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0076",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-11T09:12:39",NA
"PDS2014","SE","PDS2014-0077",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0077",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-11T09:11:54",NA
"PDS2014","SE","PDS2014-0078",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0078",2,"06","M - High - TRM","2010-12-11T00:00:00","2011-01-11T09:12:16",NA
"PDS2014","SE","PDS2014-0101",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0101",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T07:48:19",NA
"PDS2014","SE","PDS2014-0102",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0102",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T07:49:16",NA
"PDS2014","SE","PDS2014-0103",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0103",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T07:50:25",NA
"PDS2014","SE","PDS2014-0104",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0104",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T07:51:36",NA
"PDS2014","SE","PDS2014-0105",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0105",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T07:53:01",NA
"PDS2014","SE","PDS2014-0106",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0106",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T08:17:40",NA
"PDS2014","SE","PDS2014-0107",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0107",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T08:18:25",NA
"PDS2014","SE","PDS2014-0108",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0108",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T08:19:40",NA
"PDS2014","SE","PDS2014-0109",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0109",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T08:20:25",NA
"PDS2014","SE","PDS2014-0110",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0110",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T08:21:03",NA
"PDS2014","SE","PDS2014-0111",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0111",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0111",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:50:53",NA
"PDS2014","SE","PDS2014-0112",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0112",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0112",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:51:47",NA
"PDS2014","SE","PDS2014-0113",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0113",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0113",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:53:02",NA
"PDS2014","SE","PDS2014-0114",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0114",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0114",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:53:51",NA
"PDS2014","SE","PDS2014-0115",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0115",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-10T00:00:00",NA
"PDS2014","SE","PDS2014-0115",3,"03","Recovery Period","2011-01-10T00:00:00","2011-02-06T07:55:09",NA
"PDS2014","SE","PDS2014-0119",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0119",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2010-12-13T08:54:14",NA
"PDS2014","SE","PDS2014-0117",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0117",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T13:49:53",NA
"PDS2014","SE","PDS2014-0118",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0118",2,"09","F - Vehicle - TRM","2010-12-11T00:00:00","2011-01-09T13:50:43",NA
"PDS2014","SE","PDS2014-0121",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0121",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-09T08:14:48",NA
"PDS2014","SE","PDS2014-0122",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0122",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-09T08:16:04",NA
"PDS2014","SE","PDS2014-0123",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0123",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-09T08:17:24",NA
"PDS2014","SE","PDS2014-0124",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0124",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-09T08:18:40",NA
"PDS2014","SE","PDS2014-0125",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0125",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-09T08:20:16",NA
"PDS2014","SE","PDS2014-0126",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0126",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-10T08:26:46",NA
"PDS2014","SE","PDS2014-0127",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0127",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-10T08:27:34",NA
"PDS2014","SE","PDS2014-0128",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0128",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-10T08:28:36",NA
"PDS2014","SE","PDS2014-0129",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0129",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-10T08:29:37",NA
"PDS2014","SE","PDS2014-0130",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0130",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-10T08:30:56",NA
"PDS2014","SE","PDS2014-0131",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0131",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-09T13:52:56",NA
"PDS2014","SE","PDS2014-0132",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0132",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-09T13:54:12",NA
"PDS2014","SE","PDS2014-0133",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0133",2,"10","F - Low - TRM","2010-12-11T00:00:00","2011-01-09T13:53:28",NA
"PDS2014","SE","PDS2014-0141",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0141",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-09T08:28:52",NA
"PDS2014","SE","PDS2014-0142",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0142",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-09T08:30:01",NA
"PDS2014","SE","PDS2014-0143",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0143",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-09T08:31:13",NA
"PDS2014","SE","PDS2014-0144",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0144",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-09T08:32:20",NA
"PDS2014","SE","PDS2014-0145",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0145",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-09T08:33:21",NA
"PDS2014","SE","PDS2014-0146",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0146",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-10T08:36:49",NA
"PDS2014","SE","PDS2014-0147",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0147",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-10T08:38:16",NA
"PDS2014","SE","PDS2014-0148",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0148",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-10T08:39:10",NA
"PDS2014","SE","PDS2014-0149",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0149",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-10T08:40:06",NA
"PDS2014","SE","PDS2014-0150",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0150",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-10T08:40:51",NA
"PDS2014","SE","PDS2014-0151",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
"PDS2014","SE","PDS2014-0151",2,"11","F - Medium - TRM","2010-12-11T00:00:00","2011-01-09T13:56:25",NA
"PDS2014","SE","PDS2014-0152",1,"01","Pre-dosing","2010-12-04T00:00:00","2010-12-11T00:00:00",NA
