"STUDYID","DOMAIN","USUBJID","MASEQ","MAGRPID","MAREFID","MASPID","MATESTCD","MATEST","MABODSYS","MAORRES","MASTRESC","MASTAT","MAREASND","MANAM","MASPEC","MAANTREG","MASPCCND","MASPCUFL","MALAT","MADIR","MAPORTOT","MAEVAL","MASEV","MADTHREL","MADTC","MADY"
"PDS2014","MA","PDS2014-0001",11,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"EYE",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",12,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, HARDERIAN",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",13,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"NOSE",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",14,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"TONGUE",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",15,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SKIN",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",16,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, PREPUTIAL",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",17,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, MAMMARY",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",18,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"BONE MARROW, STERNUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",19,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"THYMUS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",20,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"HEART",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",21,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"TRACHEA",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",22,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LUNG",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",23,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"ESOPHAGUS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",24,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"ARTERY, AORTA",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",25,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SPLEEN",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",26,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"PANCREAS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",27,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"STOMACH",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",28,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SMALL INTESTINE, DUODENUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",29,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SMALL INTESTINE, JEJUNUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",30,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LYMPH NODE, MESENTERIC",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",31,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LARGE INTESTINE, CECUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",32,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LARGE INTESTINE, COLON",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",33,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SMALL INTESTINE, ILEUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",34,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, ADRENAL",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",35,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"URETER",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",36,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"KIDNEY",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",37,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"URINARY BLADDER",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",38,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"TESTIS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",39,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"EPIDIDYMIS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",40,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, PROSTATE",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",41,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, SEMINAL VESICLE",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",42,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SITE, MICROCHIP",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",43,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LARGE INTESTINE, RECTUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0001",44,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"BONE MARROW, FEMUR",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MA","PDS2014-0002",45,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"frozen sample (co2-ice)","frozen sample (co2-ice)",NA,NA,NA,"LIVER",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",46,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"NERVE, SCIATIC",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",47,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"MUSCLE, QUADRICEPS FEMORIS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",48,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, SALIVARY, PAROTID",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",49,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, THYROID",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",50,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, PARATHYROID",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",51,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LARYNX",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",52,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"BRAIN",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",53,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, PITUITARY",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",54,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"EYE",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",55,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, HARDERIAN",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",56,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"NOSE",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",57,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"TONGUE",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",58,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SKIN",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",59,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, PREPUTIAL",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",60,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, MAMMARY",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",61,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"BONE MARROW, STERNUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",62,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"THYMUS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",63,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"HEART",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",64,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"TRACHEA",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",65,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LUNG",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",66,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"ESOPHAGUS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",67,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"ARTERY, AORTA",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",68,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SPLEEN",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",69,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"PANCREAS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",70,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"STOMACH",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",71,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SMALL INTESTINE, DUODENUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",72,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SMALL INTESTINE, JEJUNUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",73,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LYMPH NODE, MESENTERIC",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",74,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LARGE INTESTINE, CECUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",75,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LARGE INTESTINE, COLON",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",76,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SMALL INTESTINE, ILEUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",77,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, ADRENAL",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",78,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"URETER",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",79,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"KIDNEY",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",80,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"URINARY BLADDER",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",81,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"TESTIS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",82,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"EPIDIDYMIS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",83,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, PROSTATE",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",84,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, SEMINAL VESICLE",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",85,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"SITE, MICROCHIP",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",86,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LARGE INTESTINE, RECTUM",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0002",87,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"BONE MARROW, FEMUR",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MA","PDS2014-0003",88,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"frozen sample (co2-ice)","frozen sample (co2-ice)",NA,NA,NA,"LIVER",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T14:16:00",30
"PDS2014","MA","PDS2014-0003",89,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"NERVE, SCIATIC",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T14:16:00",30
"PDS2014","MA","PDS2014-0003",90,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"MUSCLE, QUADRICEPS FEMORIS",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T14:16:00",30
"PDS2014","MA","PDS2014-0003",91,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, SALIVARY, PAROTID",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T14:16:00",30
"PDS2014","MA","PDS2014-0003",92,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, THYROID",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T14:16:00",30
"PDS2014","MA","PDS2014-0003",93,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"GLAND, PARATHYROID",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T14:16:00",30
"PDS2014","MA","PDS2014-0003",94,NA,NA,NA,"GROSPATH","Gross Pathological Examination",NA,"NORMAL","NORMAL",NA,NA,NA,"LARYNX",NA,NA,NA,NA,NA,NA,"SUPERVISING PATHOLOGIST",NA,NA,"2011-01-09T14:16:00",30
