"STUDYID","DOMAIN","USUBJID","POOLID","PCSEQ","PCGRPID","PCREFID","PCSPID","PCTESTCD","PCTEST","PCCAT","PCSCAT","PCORRES","PCORRESU","PCSTRESC","PCSTRESN","PCSTRESU","PCSTAT","PCREASND","PCNAM","PCSPEC","PCSPCCND","PCMETHOD","PCBLFL","PCFAST","PCDRVFL","PCLLOQ","PCEXCLFL","PCREASEX","VISITDY","PCDTC","PCENDTC","PCDY","PCENDY","PCTPT","PCTPTNUM","PCELTM","PCTPTREF","PCRFTDTC","PCEVLINT"
"PDS2014","PC","PDS2014-0031",NA,11,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"596","ng/mL","596",596,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,12,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"334","ng/mL","334",334,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0031",NA,13,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,14,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1470","ng/mL","1470",1470,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,15,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1840","ng/mL","1840",1840,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,16,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2140","ng/mL","2140",2140,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,17,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2100","ng/mL","2100",2100,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,18,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1470","ng/mL","1470",1470,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,19,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"BQL","ng/mL","BQL",NA,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,20,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"50.9","ng/mL","50.9",50.9,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,21,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1470","ng/mL","1470",1470,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,22,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2340","ng/mL","2340",2340,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,23,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2380","ng/mL","2380",2380,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,24,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1240","ng/mL","1240",1240,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,25,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"810","ng/mL","810",810,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0032",NA,26,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"50.9","ng/mL","50.9",50.9,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,27,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1420","ng/mL","1420",1420,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,28,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1590","ng/mL","1590",1590,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,29,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1770","ng/mL","1770",1770,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,30,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2640","ng/mL","2640",2640,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,31,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1470","ng/mL","1470",1470,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,32,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"63","ng/mL","63",63,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,33,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"91.6","ng/mL","91.6",91.6,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,34,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1410","ng/mL","1410",1410,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,35,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1990","ng/mL","1990",1990,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,36,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1750","ng/mL","1750",1750,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,37,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1540","ng/mL","1540",1540,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,38,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1180","ng/mL","1180",1180,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0033",NA,39,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"91.6","ng/mL","91.6",91.6,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,40,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1350","ng/mL","1350",1350,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,41,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1540","ng/mL","1540",1540,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,42,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1480","ng/mL","1480",1480,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,43,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1940","ng/mL","1940",1940,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,44,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2230","ng/mL","2230",2230,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,45,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2540","ng/mL","2540",2540,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,46,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"351","ng/mL","351",351,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,47,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1690","ng/mL","1690",1690,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,48,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2120","ng/mL","2120",2120,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,49,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2160","ng/mL","2160",2160,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,50,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2310","ng/mL","2310",2310,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,51,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2000","ng/mL","2000",2000,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0051",NA,52,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"351","ng/mL","351",351,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,53,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1950","ng/mL","1950",1950,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,54,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2030","ng/mL","2030",2030,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,55,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1890","ng/mL","1890",1890,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,56,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2030","ng/mL","2030",2030,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,57,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3770","ng/mL","3770",3770,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,58,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1490","ng/mL","1490",1490,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,59,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"194","ng/mL","194",194,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,60,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1380","ng/mL","1380",1380,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,61,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2320","ng/mL","2320",2320,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,62,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2710","ng/mL","2710",2710,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,63,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2190","ng/mL","2190",2190,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,64,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1490","ng/mL","1490",1490,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0052",NA,65,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"194","ng/mL","194",194,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,30,"2011-01-09T12:00:00",NA,30,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,66,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1670","ng/mL","1670",1670,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,67,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2090","ng/mL","2090",2090,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,68,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2670","ng/mL","2670",2670,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,69,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3540","ng/mL","3540",3540,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,70,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3590","ng/mL","3590",3590,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,1,"2010-12-11T12:00:00",NA,1,NA,"7H",7,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,71,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"964","ng/mL","964",964,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,2,"2010-12-12T12:00:00",NA,2,NA,"24H",24,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,72,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"163","ng/mL","163",163,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0H",0,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,73,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2090","ng/mL","2090",2090,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"0.5H",0.5,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,74,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2760","ng/mL","2760",2760,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"1H",1,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,75,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"3090","ng/mL","3090",3090,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"2H",2,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,76,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"2200","ng/mL","2200",2200,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"4H",4,NA,NA,NA,NA
"PDS2014","PC","PDS2014-0053",NA,77,NA,NA,NA,"STDRG","PDS-12345678","Pharmaco-kinetic Concentrations Activity",NA,"1530","ng/mL","1530",1530,"ng/mL",NA,NA,NA,"PLASMA",NA,NA,NA,NA,NA,20,NA,NA,29,"2011-01-08T12:00:00",NA,29,NA,"7H",7,NA,NA,NA,NA
