"STUDYID","DOMAIN","USUBJID","MISEQ","MIGRPID","MIREFID","MISPID","MITESTCD","MITEST","MIBODSYS","MIORRES","MISTRESC","MIRESCAT","MISTAT","MIREASND","MINAM","MISPEC","MIANTREG","MISPCCND","MISPCUFL","MIMETHOD","MILAT","MIDIR","MIEVAL","MISEV","MIDTHREL","MIDTC","MIDY"
"PDS2014","MI","PDS2014-0001",11,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"EYE",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",12,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, HARDERIAN",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",13,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Inflammation chronic, myocardium, focal, septum, grade 1","Inflammation chronic","NON-NEOPLASTIC",NA,NA,NA,"HEART",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",14,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"KIDNEY",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",15,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LARGE INTESTINE, COLON",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",16,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LARGE INTESTINE, RECTUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",17,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LARGE INTESTINE, CECUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",18,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LARYNX",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",19,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"MPS-aggregates multifocal, grade 1","MPS-aggregates multifocal","NON-NEOPLASTIC",NA,NA,NA,"LIVER",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",20,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Macrophages intra-alveolar focal/multifocal, grade 1","Macrophages intra-alveolar focal/multifocal","NON-NEOPLASTIC",NA,NA,NA,"LUNG",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",21,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LYMPH NODE, MESENTERIC",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",22,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LYMPH NODE, POPLITEAL",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",23,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, MAMMARY",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",24,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"NERVE, OPTIC",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",25,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"PANCREAS",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",26,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, PARATHYROID",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",27,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"NERVE, SCIATIC",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",28,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"PEYER'S PATCH",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",29,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, PITUITARY",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",30,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Inflammation chronic, ventral, grade 1","Inflammation chronic","NON-NEOPLASTIC",NA,NA,NA,"GLAND, PROSTATE",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",31,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, SALIVARY, SUBLINGUAL",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",32,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, SALIVARY, SUBMANDIBULAR",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",33,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, SALIVARY, PAROTID",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",34,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, SEMINAL VESICLE",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",35,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"MUSCLE, QUADRICEPS FEMORIS",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",36,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SKIN",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",37,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SMALL INTESTINE, DUODENUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",38,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SMALL INTESTINE, ILEUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",39,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SMALL INTESTINE, JEJUNUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",40,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SPINAL CORD, CERVICAL",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",41,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SPINAL CORD, LUMBAR",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",42,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SPINAL CORD, THORACIC",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",43,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SPLEEN",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",44,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"STOMACH",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",45,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"TESTIS",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",46,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"THYMUS",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",47,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, THYROID",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",48,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"TONGUE",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",49,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"TRACHEA",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",50,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"URETER",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0001",51,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Inflammation chronic, focal/multifocal, grade 1","Inflammation chronic","NON-NEOPLASTIC",NA,NA,NA,"URINARY BLADDER",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T09:59:00",30
"PDS2014","MI","PDS2014-0002",52,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, ADRENAL",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",53,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"ARTERY, AORTA",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",54,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Fat vacuoles, diffuse, grade 2","Fat vacuoles","NON-NEOPLASTIC",NA,NA,NA,"BONE MARROW, FEMUR",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MODERATE",NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",55,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BONE MARROW, STERNUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",56,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BONE, STERNUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",57,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"JOINT, STIFLE",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",58,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"BRAIN",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",59,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, COAGULATING",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",60,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"EPIDIDYMIS",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",61,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"ESOPHAGUS",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",62,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"EYE",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",63,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, HARDERIAN",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",64,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"HEART",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",65,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Basophilia tubule(s), cortex, focal/multifocal, grade 1","Basophilia tubule(s)","NON-NEOPLASTIC",NA,NA,NA,"KIDNEY",NA,NA,NA,NA,"UNILATERAL",NA,"PATHOLOGIST","MILD",NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",66,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LARGE INTESTINE, COLON",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",67,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LARGE INTESTINE, RECTUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",68,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LARGE INTESTINE, CECUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",69,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LARYNX",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",70,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Inflammation chronic, multifocal, grade 1","Inflammation chronic","NON-NEOPLASTIC",NA,NA,NA,"LIVER",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",71,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"MPS-aggregates multifocal, grade 1","MPS-aggregates multifocal","NON-NEOPLASTIC",NA,NA,NA,"LIVER",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",72,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Macrophages intra-alveolar focal/multifocal, grade 1","Macrophages intra-alveolar focal/multifocal","NON-NEOPLASTIC",NA,NA,NA,"LUNG",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",73,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LYMPH NODE, MESENTERIC",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",74,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"LYMPH NODE, POPLITEAL",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",75,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, MAMMARY",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",76,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"NERVE, OPTIC",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",77,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"PANCREAS",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",78,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, PARATHYROID",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",79,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"NERVE, SCIATIC",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",80,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Mineralization, multifocal, grade 1","Mineralization","NON-NEOPLASTIC",NA,NA,NA,"PEYER'S PATCH",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",81,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"Cyst(s), focal, grade 1","Cyst(s)","NON-NEOPLASTIC",NA,NA,NA,"GLAND, PITUITARY",NA,NA,NA,NA,NA,NA,"PATHOLOGIST","MILD",NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",82,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, PROSTATE",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",83,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, SALIVARY, SUBLINGUAL",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",84,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, SALIVARY, SUBMANDIBULAR",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",85,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, SALIVARY, PAROTID",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",86,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"GLAND, SEMINAL VESICLE",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",87,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"MUSCLE, QUADRICEPS FEMORIS",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",88,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SKIN",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",89,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SMALL INTESTINE, DUODENUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",90,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SMALL INTESTINE, ILEUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",91,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SMALL INTESTINE, JEJUNUM",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",92,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SPINAL CORD, CERVICAL",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",93,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SPINAL CORD, LUMBAR",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",94,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SPINAL CORD, THORACIC",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
"PDS2014","MI","PDS2014-0002",95,NA,NA,NA,"MIEXAM","Microscopic Examination",NA,"NORMAL","NORMAL",NA,NA,NA,NA,"SPLEEN",NA,NA,NA,NA,NA,NA,"PATHOLOGIST",NA,NA,"2011-01-09T11:38:00",30
