"STUDYID","DOMAIN","SETCD","SET","TXSEQ","TXPARMCD","TXPARM","TXVAL"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",87,"SPECIES","Species","Rat"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",88,"SPGRPCD","Sponsor-Defined Group Code","M-M"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",89,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",90,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",91,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",92,"TKDESC","Toxicokinetic Description","TK"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",93,"TRTDOS","Dose Level","200.0"
"PDS2014","TX","07","Male, Medium, 200 mg/kg , TK",94,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",95,"ARMCD","Arm Code","05"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",96,"GRPLBL","Group Label","M-High"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",97,"PLANFSUB","Planned Number of Female Subjects","0"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",98,"PLANMSUB","Planned Number of Male Subjects","10"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",99,"SEXPOP","Sex of Participants","M"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",100,"SPECIES","Species","Rat"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",101,"SPGRPCD","Sponsor-Defined Group Code","M-H"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",102,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",103,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",104,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",105,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",106,"TRTDOS","Dose Level","400.0"
"PDS2014","TX","08","Male, High, 400 mg/kg , NON-TK",107,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",108,"ARMCD","Arm Code","05"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",109,"GRPLBL","Group Label","M-High"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",110,"PLANFSUB","Planned Number of Female Subjects","0"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",111,"PLANMSUB","Planned Number of Male Subjects","3"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",112,"SEXPOP","Sex of Participants","M"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",113,"SPECIES","Species","Rat"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",114,"SPGRPCD","Sponsor-Defined Group Code","M-H"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",115,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",116,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",117,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",118,"TKDESC","Toxicokinetic Description","TK"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",119,"TRTDOS","Dose Level","400.0"
"PDS2014","TX","10","Male, High, 400 mg/kg , TK",120,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",121,"ARMCD","Arm Code","06"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",122,"GRPLBL","Group Label","M-High"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",123,"PLANFSUB","Planned Number of Female Subjects","0"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",124,"PLANMSUB","Planned Number of Male Subjects","5"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",125,"SEXPOP","Sex of Participants","M"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",126,"SPECIES","Species","Rat"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",127,"SPGRPCD","Sponsor-Defined Group Code","M-H"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",128,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",129,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",130,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",131,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",132,"TRTDOS","Dose Level","400.0"
"PDS2014","TX","09","Male, High, 400 mg/kg , NON-TK",133,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",162,"ARMCD","Arm Code","09"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",163,"GRPLBL","Group Label","F-Vehicle"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",164,"PLANFSUB","Planned Number of Female Subjects","10"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",165,"PLANMSUB","Planned Number of Male Subjects","0"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",166,"SEXPOP","Sex of Participants","F"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",167,"SPECIES","Species","Rat"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",168,"SPGRPCD","Sponsor-Defined Group Code","F-V"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",169,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",170,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",171,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",172,"TCNTRL","Control Type","Vehicle Control"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",173,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",174,"TRTDOS","Dose Level","0.0"
"PDS2014","TX","13","Female, Vehicle, 0 mg/kg , NON-TK",175,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",176,"ARMCD","Arm Code","09"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",177,"GRPLBL","Group Label","F-Vehicle"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",178,"PLANFSUB","Planned Number of Female Subjects","3"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",179,"PLANMSUB","Planned Number of Male Subjects","0"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",180,"SEXPOP","Sex of Participants","F"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",181,"SPECIES","Species","Rat"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",182,"SPGRPCD","Sponsor-Defined Group Code","F-V"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",183,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",184,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",185,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",186,"TCNTRL","Control Type","Vehicle Control"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",187,"TKDESC","Toxicokinetic Description","TK"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",188,"TRTDOS","Dose Level","0.0"
"PDS2014","TX","15","Female, Vehicle, 0 mg/kg , TK",189,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",190,"ARMCD","Arm Code","10"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",191,"GRPLBL","Group Label","F-Vehicle"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",192,"PLANFSUB","Planned Number of Female Subjects","5"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",193,"PLANMSUB","Planned Number of Male Subjects","0"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",194,"SEXPOP","Sex of Participants","F"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",195,"SPECIES","Species","Rat"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",196,"SPGRPCD","Sponsor-Defined Group Code","F-V"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",197,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",198,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",199,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",200,"TCNTRL","Control Type","Vehicle Control"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",201,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",202,"TRTDOS","Dose Level","0.0"
"PDS2014","TX","14","Female, Vehicle, 0 mg/kg , NON-TK",203,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",204,"ARMCD","Arm Code","11"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",205,"GRPLBL","Group Label","F-Low"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",206,"PLANFSUB","Planned Number of Female Subjects","10"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",207,"PLANMSUB","Planned Number of Male Subjects","0"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",208,"SEXPOP","Sex of Participants","F"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",209,"SPECIES","Species","Rat"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",210,"SPGRPCD","Sponsor-Defined Group Code","F-L"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",211,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",212,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",213,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",214,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",215,"TRTDOS","Dose Level","20.0"
"PDS2014","TX","16","Female, Low, 20 mg/kg , NON-TK",216,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",217,"ARMCD","Arm Code","11"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",218,"GRPLBL","Group Label","F-Low"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",219,"PLANFSUB","Planned Number of Female Subjects","3"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",220,"PLANMSUB","Planned Number of Male Subjects","0"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",221,"SEXPOP","Sex of Participants","F"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",222,"SPECIES","Species","Rat"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",223,"SPGRPCD","Sponsor-Defined Group Code","F-L"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",224,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",225,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",226,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",227,"TKDESC","Toxicokinetic Description","TK"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",228,"TRTDOS","Dose Level","20.0"
"PDS2014","TX","17","Female, Low, 20 mg/kg , TK",229,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",230,"ARMCD","Arm Code","12"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",231,"GRPLBL","Group Label","F-Medium"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",232,"PLANFSUB","Planned Number of Female Subjects","10"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",233,"PLANMSUB","Planned Number of Male Subjects","0"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",234,"SEXPOP","Sex of Participants","F"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",235,"SPECIES","Species","Rat"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",236,"SPGRPCD","Sponsor-Defined Group Code","F-M"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",237,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",238,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",239,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",240,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",241,"TRTDOS","Dose Level","200.0"
"PDS2014","TX","18","Female, Medium, 200 mg/kg , NON-TK",242,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",243,"ARMCD","Arm Code","12"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",244,"GRPLBL","Group Label","F-Medium"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",245,"PLANFSUB","Planned Number of Female Subjects","3"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",246,"PLANMSUB","Planned Number of Male Subjects","0"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",247,"SEXPOP","Sex of Participants","F"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",248,"SPECIES","Species","Rat"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",249,"SPGRPCD","Sponsor-Defined Group Code","F-M"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",250,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",251,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",252,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",253,"TKDESC","Toxicokinetic Description","TK"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",254,"TRTDOS","Dose Level","200.0"
"PDS2014","TX","19","Female, Medium, 200 mg/kg , TK",255,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",256,"ARMCD","Arm Code","13"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",257,"GRPLBL","Group Label","F-High"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",258,"PLANFSUB","Planned Number of Female Subjects","10"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",259,"PLANMSUB","Planned Number of Male Subjects","0"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",260,"SEXPOP","Sex of Participants","F"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",261,"SPECIES","Species","Rat"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",262,"SPGRPCD","Sponsor-Defined Group Code","F-H"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",263,"SPLRLOC","Test Subject Supplier Site","MAIN RATVILLE"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",264,"SPLRNAM","Test Subject Supplier","Charles River"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",265,"STRAIN","Strain/Substrain","Sprague Dawley"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",266,"TKDESC","Toxicokinetic Description","NON-TK"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",267,"TRTDOS","Dose Level","400.0"
"PDS2014","TX","20","Female, High, 400 mg/kg , NON-TK",268,"TRTDOSU","Dose Units","mg/kg"
"PDS2014","TX","22","Female, High, 400 mg/kg , TK",269,"ARMCD","Arm Code","13"
