STUDYID, DOMAIN, USUBJID, POOLID, PCSEQ, PCGRPID, PCREFID, PCSPID, PCTESTCD, PCTEST, PCCAT, PCSCAT, PCORRES, PCORRESU, PCSTRESC, PCSTRESN, PCSTRESU, PCSTAT, PCREASND, PCNAM, PCSPEC, PCSPCCND, PCMETHOD, PCBLFL, PCFAST, PCDRVFL, PCLLOQ, PCEXCLFL, PCREASEX, VISITDY, PCDTC, PCENDTC, PCDY, PCENDY, PCTPT, PCTPTNUM, PCELTM, PCTPTREF, PCRFTDTC, PCEVLINT
STUDY123,PC,STUDY123-1003,,11,ARTICLE123-DAY1-STUDY123-1003,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1003,,12,ARTICLE123-DAY1-STUDY123-1003,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1003,,13,ARTICLE123-DAY1-STUDY123-1003,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1003,,14,ARTICLE123-DAY1-STUDY123-1003,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1003,,15,ARTICLE123-DAY1-STUDY123-1003,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1004,,16,ARTICLE123-DAY1-STUDY123-1004,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1004,,17,ARTICLE123-DAY1-STUDY123-1004,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1004,,18,ARTICLE123-DAY1-STUDY123-1004,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1004,,19,ARTICLE123-DAY1-STUDY123-1004,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1004,,20,ARTICLE123-DAY1-STUDY123-1004,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1005,,21,ARTICLE123-DAY1-STUDY123-1005,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1005,,22,ARTICLE123-DAY1-STUDY123-1005,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1005,,23,ARTICLE123-DAY1-STUDY123-1005,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1005,,24,ARTICLE123-DAY1-STUDY123-1005,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1005,,25,ARTICLE123-DAY1-STUDY123-1005,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1006,,26,ARTICLE123-DAY1-STUDY123-1006,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1006,,27,ARTICLE123-DAY1-STUDY123-1006,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1006,,28,ARTICLE123-DAY1-STUDY123-1006,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1006,,29,ARTICLE123-DAY1-STUDY123-1006,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1006,,30,ARTICLE123-DAY1-STUDY123-1006,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1501,,31,ARTICLE123-DAY1-STUDY123-1501,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1501,,32,ARTICLE123-DAY1-STUDY123-1501,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1501,,33,ARTICLE123-DAY1-STUDY123-1501,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1501,,34,ARTICLE123-DAY1-STUDY123-1501,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1501,,35,ARTICLE123-DAY1-STUDY123-1501,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1502,,36,ARTICLE123-DAY1-STUDY123-1502,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1502,,37,ARTICLE123-DAY1-STUDY123-1502,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1502,,38,ARTICLE123-DAY1-STUDY123-1502,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1502,,39,ARTICLE123-DAY1-STUDY123-1502,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1502,,40,ARTICLE123-DAY1-STUDY123-1502,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1503,,41,ARTICLE123-DAY1-STUDY123-1503,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1503,,42,ARTICLE123-DAY1-STUDY123-1503,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1503,,43,ARTICLE123-DAY1-STUDY123-1503,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1503,,44,ARTICLE123-DAY1-STUDY123-1503,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1503,,45,ARTICLE123-DAY1-STUDY123-1503,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1504,,46,ARTICLE123-DAY1-STUDY123-1504,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1504,,47,ARTICLE123-DAY1-STUDY123-1504,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1504,,48,ARTICLE123-DAY1-STUDY123-1504,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1504,,49,ARTICLE123-DAY1-STUDY123-1504,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1504,,50,ARTICLE123-DAY1-STUDY123-1504,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1505,,51,ARTICLE123-DAY1-STUDY123-1505,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1505,,52,ARTICLE123-DAY1-STUDY123-1505,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1505,,53,ARTICLE123-DAY1-STUDY123-1505,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1505,,54,ARTICLE123-DAY1-STUDY123-1505,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1505,,55,ARTICLE123-DAY1-STUDY123-1505,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1606,,56,ARTICLE123-DAY1-STUDY123-1606,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 1H,10001,PT1H,,,
STUDY123,PC,STUDY123-1606,,57,ARTICLE123-DAY1-STUDY123-1606,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 2H,10002,PT2H,,,
STUDY123,PC,STUDY123-1606,,58,ARTICLE123-DAY1-STUDY123-1606,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 4H,10004,PT4H,,,
STUDY123,PC,STUDY123-1606,,59,ARTICLE123-DAY1-STUDY123-1606,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,1,,DAY 1 8H,10008,PT8H,,,
STUDY123,PC,STUDY123-1606,,60,ARTICLE123-DAY1-STUDY123-1606,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,1,,,2,,DAY 1 24H,10024,PT24H,,,
STUDY123,PC,STUDY123-1001,,61,ARTICLE123-DAY85-STUDY123-1001,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 1H,850001,PT1H,,,
STUDY123,PC,STUDY123-1001,,62,ARTICLE123-DAY85-STUDY123-1001,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 2H,850002,PT2H,,,
STUDY123,PC,STUDY123-1001,,63,ARTICLE123-DAY85-STUDY123-1001,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 4H,850004,PT4H,,,
STUDY123,PC,STUDY123-1001,,64,ARTICLE123-DAY85-STUDY123-1001,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 8H,850008,PT8H,,,
STUDY123,PC,STUDY123-1001,,65,ARTICLE123-DAY85-STUDY123-1001,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,86,,DAY 85 24H,850024,PT24H,,,
STUDY123,PC,STUDY123-1002,,66,ARTICLE123-DAY85-STUDY123-1002,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 1H,850001,PT1H,,,
STUDY123,PC,STUDY123-1002,,67,ARTICLE123-DAY85-STUDY123-1002,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 2H,850002,PT2H,,,
STUDY123,PC,STUDY123-1002,,68,ARTICLE123-DAY85-STUDY123-1002,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 4H,850004,PT4H,,,
STUDY123,PC,STUDY123-1002,,69,ARTICLE123-DAY85-STUDY123-1002,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 8H,850008,PT8H,,,
STUDY123,PC,STUDY123-1002,,70,ARTICLE123-DAY85-STUDY123-1002,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,86,,DAY 85 24H,850024,PT24H,,,
STUDY123,PC,STUDY123-1003,,71,ARTICLE123-DAY85-STUDY123-1003,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 1H,850001,PT1H,,,
STUDY123,PC,STUDY123-1003,,72,ARTICLE123-DAY85-STUDY123-1003,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 2H,850002,PT2H,,,
STUDY123,PC,STUDY123-1003,,73,ARTICLE123-DAY85-STUDY123-1003,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 4H,850004,PT4H,,,
STUDY123,PC,STUDY123-1003,,74,ARTICLE123-DAY85-STUDY123-1003,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 8H,850008,PT8H,,,
STUDY123,PC,STUDY123-1003,,75,ARTICLE123-DAY85-STUDY123-1003,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,86,,DAY 85 24H,850024,PT24H,,,
STUDY123,PC,STUDY123-1004,,76,ARTICLE123-DAY85-STUDY123-1004,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 1H,850001,PT1H,,,
STUDY123,PC,STUDY123-1004,,77,ARTICLE123-DAY85-STUDY123-1004,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 2H,850002,PT2H,,,
STUDY123,PC,STUDY123-1004,,78,ARTICLE123-DAY85-STUDY123-1004,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 4H,850004,PT4H,,,
STUDY123,PC,STUDY123-1004,,79,ARTICLE123-DAY85-STUDY123-1004,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 8H,850008,PT8H,,,
STUDY123,PC,STUDY123-1004,,80,ARTICLE123-DAY85-STUDY123-1004,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,86,,DAY 85 24H,850024,PT24H,,,
STUDY123,PC,STUDY123-1005,,81,ARTICLE123-DAY85-STUDY123-1005,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 1H,850001,PT1H,,,
STUDY123,PC,STUDY123-1005,,82,ARTICLE123-DAY85-STUDY123-1005,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 2H,850002,PT2H,,,
STUDY123,PC,STUDY123-1005,,83,ARTICLE123-DAY85-STUDY123-1005,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 4H,850004,PT4H,,,
STUDY123,PC,STUDY123-1005,,84,ARTICLE123-DAY85-STUDY123-1005,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 8H,850008,PT8H,,,
STUDY123,PC,STUDY123-1005,,85,ARTICLE123-DAY85-STUDY123-1005,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,86,,DAY 85 24H,850024,PT24H,,,
STUDY123,PC,STUDY123-1006,,86,ARTICLE123-DAY85-STUDY123-1006,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 1H,850001,PT1H,,,
STUDY123,PC,STUDY123-1006,,87,ARTICLE123-DAY85-STUDY123-1006,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 2H,850002,PT2H,,,
STUDY123,PC,STUDY123-1006,,88,ARTICLE123-DAY85-STUDY123-1006,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 4H,850004,PT4H,,,
STUDY123,PC,STUDY123-1006,,89,ARTICLE123-DAY85-STUDY123-1006,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,85,,DAY 85 8H,850008,PT8H,,,
STUDY123,PC,STUDY123-1006,,90,ARTICLE123-DAY85-STUDY123-1006,,,ARCLE123,ARTICLE123,ANALYTE,,<LLOQ,ug/mL,<LLOQ,,ug/mL,,,,PLASMA,,LC/MS-MS,,,,5,,,85,,,86,,DAY 85 24H,850024,PT24H,,,
