LBCAT,LBTEST,LBTESTCD,LBSPEC,SPECIES,SEX,LBSTRESM,LBSTRESSD,LBSTRESU,N
Biochemistry,Aspartate Aminotransferase,AST,SERUM,RAT,M,85.17054264,8.525521006,U/L,43
Biochemistry,Bicarbonate,BICARB,SERUM,RAT,F,19.83597222,1.056095708,mmol/L,24
Biochemistry,Bicarbonate,BICARB,SERUM,RAT,M,22.14692982,2.293226006,mmol/L,38
Biochemistry,Direct Bilirubin,BILDIR,PLASMA,DOG,F,0.324444444,0.016164141,umol/L,12
Biochemistry,Direct Bilirubin,BILDIR,PLASMA,DOG,M,0.416666667,0.139725561,umol/L,12
Biochemistry,Direct Bilirubin,BILDIR,PLASMA,MOUSE,F,0.618,0.092415852,umol/L,30
Biochemistry,Direct Bilirubin,BILDIR,PLASMA,MOUSE,M,1.222,0.346732531,umol/L,30
Biochemistry,Bilirubin,BILI,PLASMA,DOG,F,0.508888889,0.075709884,umol/L,12
Biochemistry,Bilirubin,BILI,PLASMA,DOG,M,0.982222222,0.434225965,umol/L,12
Biochemistry,Bilirubin,BILI,PLASMA,MOUSE,F,1.15,0.263347155,umol/L,30
Biochemistry,Bilirubin,BILI,PLASMA,MOUSE,M,2.75,0.732223821,umol/L,30
Biochemistry,Bilirubin,BILI,SERUM,RAT,F,0.766666667,0.158799847,umol/L,24
Biochemistry,Bilirubin,BILI,SERUM,RAT,M,0.662698413,0.292100363,umol/L,42
Biochemistry,Calcium,CA,PLASMA,DOG,F,2.644444444,0.05543826,mmol/L,12
Biochemistry,Calcium,CA,PLASMA,DOG,M,2.625555556,0.009137926,mmol/L,12
Biochemistry,Calcium,CA,PLASMA,MONKEY,F,2.400952381,0.080925384,mmol/L,12
Biochemistry,Calcium,CA,PLASMA,MOUSE,F,2.16,0.028039381,mmol/L,30
Biochemistry,Calcium,CA,PLASMA,MOUSE,M,2.292,0.086159435,mmol/L,30
Biochemistry,Calcium,CA,PLASMA,RAT,F,2.594,0.041419266,mmol/L,10
Biochemistry,Calcium,CA,PLASMA,RAT,M,2.572,0.018135294,mmol/L,10
Biochemistry,Calcium,CA,SERUM,RAT,F,2.530555556,0.071503297,mmol/L,24
Biochemistry,Calcium,CA,SERUM,RAT,M,2.563565891,0.044134207,mmol/L,43
Biochemistry,Cholesterol,CHOL,PLASMA,DOG,F,3.205555556,0.278848039,mmol/L,12
Biochemistry,Cholesterol,CHOL,PLASMA,DOG,M,3.145555556,0.298444903,mmol/L,12
Biochemistry,Cholesterol,CHOL,PLASMA,MONKEY,F,2.522857143,0.348831072,mmol/L,12
Biochemistry,Cholesterol,CHOL,PLASMA,MOUSE,F,2.188,0.227465799,mmol/L,30
Biochemistry,Cholesterol,CHOL,PLASMA,MOUSE,M,3.544,0.510439972,mmol/L,30
Biochemistry,Cholesterol,CHOL,PLASMA,RAT,F,1.282,0.516716127,mmol/L,10
Biochemistry,Cholesterol,CHOL,PLASMA,RAT,M,1.396,0.12011106,mmol/L,10
Biochemistry,Cholesterol,CHOL,SERUM,RAT,F,1.1875,0.133988427,mmol/L,24
Biochemistry,Cholesterol,CHOL,SERUM,RAT,M,1.436434109,0.281982208,mmol/L,43
Biochemistry,Creatine Kinase,CK,PLASMA,DOG,F,142.6666667,11.63415383,U/L,12
Biochemistry,Creatine Kinase,CK,PLASMA,DOG,M,153.7777778,28.16163065,U/L,12
Biochemistry,Creatine Kinase,CK,PLASMA,MONKEY,F,226.2857143,35.76235726,U/L,12
Biochemistry,Creatine Kinase,CK,PLASMA,MOUSE,F,155.6,122.3741014,IU/L,30
Biochemistry,Creatine Kinase,CK,PLASMA,MOUSE,M,115.8,21.03592985,IU/L,30
Biochemistry,Creatine Kinase,CK,SERUM,RAT,F,489.5555556,196.54498,U/L,24
Biochemistry,Creatine Kinase,CK,SERUM,RAT,M,494.9689922,167.6766827,U/L,43
Biochemistry,Chloride,CL,PLASMA,DOG,F,114.0444444,1.427389603,mmol/L,12
Biochemistry,Chloride,CL,PLASMA,DOG,M,116.6222222,1.500258115,mmol/L,12
Biochemistry,Chloride,CL,PLASMA,MONKEY,F,108.0142857,0.947685394,mmol/L,12
Biochemistry,Chloride,CL,PLASMA,MOUSE,F,117.6,1.294550914,mmol/L,30
Biochemistry,Chloride,CL,PLASMA,MOUSE,M,117.36,2.079058142,mmol/L,30
Biochemistry,Chloride,CL,PLASMA,RAT,F,106.62,1.419546093,mmol/L,10
Biochemistry,Chloride,CL,PLASMA,RAT,M,106.54,1.165427914,mmol/L,10
Biochemistry,Chloride,CL,SERUM,RAT,F,100.2083333,0.734337257,mmol/L,24
Biochemistry,Chloride,CL,SERUM,RAT,M,99.48837209,1.320070619,mmol/L,43
Biochemistry,Creatinine,CREAT,PLASMA,DOG,F,51.85222222,4.524515786,umol/L,12
Biochemistry,Creatinine,CREAT,PLASMA,DOG,M,61.01111111,3.53032729,umol/L,12
Biochemistry,Creatinine,CREAT,PLASMA,MONKEY,F,63.59285714,5.57671371,umol/L,12
Biochemistry,Creatinine,CREAT,PLASMA,MOUSE,F,14.572,2.600188853,umol/L,30
Biochemistry,Creatinine,CREAT,PLASMA,MOUSE,M,13.838,0.53921015,umol/L,30
Biochemistry,Creatinine,CREAT,PLASMA,RAT,F,33.936,4.201246376,umol/L,10
Biochemistry,Creatinine,CREAT,PLASMA,RAT,M,26.672,2.00070432,umol/L,10
Biochemistry,Creatinine,CREAT,SERUM,RAT,F,37.88888889,2.993820797,umol/L,24
Biochemistry,Creatinine,CREAT,SERUM,RAT,M,33.1627907,3.827892684,umol/L,43
Biochemistry,Free Fatty Acid,FATACFR,SERUM,RAT,F,0.681333333,0.039918045,mmol/L,20
Biochemistry,Free Fatty Acid,FATACFR,SERUM,RAT,M,0.531333333,0.063893186,mmol/L,20
Biochemistry,Gamma Glutamyl Transferase,GGT,PLASMA,DOG,F,2.111111111,0.591750243,U/L,12
Biochemistry,Gamma Glutamyl Transferase,GGT,PLASMA,DOG,M,1.222222222,0.164121988,U/L,12
Biochemistry,Gamma Glutamyl Transferase,GGT,PLASMA,MONKEY,F,93.57142857,9.998886765,U/L,12
Biochemistry,Globulin,GLOBUL,SERUM,RAT,F,18.38611111,1.653949063,g/L,24
Biochemistry,Globulin,GLOBUL,SERUM,RAT,M,18.85968992,1.32374645,g/L,43
Biochemistry,Glucose,GLUC,PLASMA,DOG,F,5.064444444,0.050077381,mmol/L,12
Biochemistry,Glucose,GLUC,PLASMA,DOG,M,5.418888889,0.199885489,mmol/L,12
Biochemistry,Glucose,GLUC,PLASMA,MONKEY,F,4.422857143,0.700764491,mmol/L,12
Biochemistry,Glucose,GLUC,PLASMA,MOUSE,F,10.076,0.42861123,mmol/L,30
Biochemistry,Glucose,GLUC,PLASMA,MOUSE,M,9.72,1.080402224,mmol/L,30
Biochemistry,Glucose,GLUC,PLASMA,RAT,F,5.452,0.706459089,mmol/L,10
Biochemistry,Glucose,GLUC,PLASMA,RAT,M,6.16,0.63836597,mmol/L,10
Biochemistry,Glucose,GLUC,SERUM,RAT,F,7.170833333,0.822410296,mmol/L,24
Biochemistry,Glucose,GLUC,SERUM,RAT,M,8.5,1.268065226,mmol/L,43
Biochemistry,Icteric Index,ICTERUSI,SERUM,RAT,F,0,0,mmol/L,24
Biochemistry,Icteric Index,ICTERUSI,SERUM,RAT,M,0,0,mmol/L,43
Biochemistry,Potassium,K,PLASMA,DOG,F,4.143333333,0.108133849,mmol/L,12
Biochemistry,Potassium,K,PLASMA,DOG,M,4.437777778,0.42765353,mmol/L,12
Biochemistry,Potassium,K,PLASMA,MONKEY,F,4.10952381,0.082253361,mmol/L,12
Biochemistry,Potassium,K,PLASMA,MOUSE,F,3.732,0.289498973,mmol/L,30
Biochemistry,Potassium,K,PLASMA,MOUSE,M,3.76,0.125560811,mmol/L,30
Biochemistry,Potassium,K,PLASMA,RAT,F,3.408,0.250723398,mmol/L,10
Biochemistry,Potassium,K,PLASMA,RAT,M,3.286,0.166078964,mmol/L,10
Biochemistry,Potassium,K,SERUM,RAT,F,4.421944444,0.311525647,mmol/L,24
Biochemistry,Potassium,K,SERUM,RAT,M,4.895116279,0.369187832,mmol/L,43
Biochemistry,Lactate Dehydrogenase,LDH,PLASMA,DOG,F,177.2222222,31.04292673,U/L,12
Biochemistry,Lactate Dehydrogenase,LDH,PLASMA,DOG,M,115.6666667,8.867145123,U/L,12
Biochemistry,Lactate Dehydrogenase,LDH,PLASMA,MONKEY,F,269.1428571,69.73461488,U/L,12
Biochemistry,Lactate Dehydrogenase,LDH,PLASMA,MOUSE,F,361.2,138.0275835,IU/L,30
Biochemistry,Lactate Dehydrogenase,LDH,PLASMA,MOUSE,M,297.2,34.61353134,IU/L,30
Biochemistry,Lipemic Index,LIPEMIAI,SERUM,RAT,F,7.972222222,1.857005711,mmol/L,24
Biochemistry,Lipemic Index,LIPEMIAI,SERUM,RAT,M,11.88372093,6.807979959,mmol/L,43
Biochemistry,Magnesium,MG,SERUM,RAT,F,0.951388889,0.045819607,mmol/L,24
Biochemistry,Magnesium,MG,SERUM,RAT,M,0.874108527,0.040216591,mmol/L,43
Biochemistry,Phosphate,PHOS,PLASMA,DOG,F,1.363333333,0.077381385,mmol/L,12
Biochemistry,Phosphate,PHOS,PLASMA,DOG,M,1.312222222,0.060725136,mmol/L,12
Biochemistry,Phosphate,PHOS,PLASMA,MONKEY,F,1.506666667,0.140025618,mmol/L,12
Biochemistry,Phosphate,PHOS,PLASMA,MOUSE,F,2.234,0.343145691,mmol/L,30
Biochemistry,Phosphate,PHOS,PLASMA,MOUSE,M,2.592,0.311795689,mmol/L,30
Biochemistry,Phosphate,PHOS,PLASMA,RAT,F,2.056,0.294965158,mmol/L,10
Biochemistry,Phosphate,PHOS,PLASMA,RAT,M,2.264,0.121582162,mmol/L,10
Biochemistry,Phosphate,PHOS,SERUM,RAT,F,1.941666667,0.109566559,mmol/L,24
Biochemistry,Phosphate,PHOS,SERUM,RAT,M,2.296899225,0.25519097,mmol/L,43
Biochemistry,Protein,PROT,PLASMA,DOG,F,50.91111111,1.880754917,g/L,12
Biochemistry,Protein,PROT,PLASMA,DOG,M,54.64444444,1.208833926,g/L,12
Biochemistry,Protein,PROT,PLASMA,MONKEY,F,83.47142857,1.812797221,g/L,12
Biochemistry,Protein,PROT,PLASMA,MOUSE,F,39.8,2.400861914,g/L,30
Biochemistry,Protein,PROT,PLASMA,MOUSE,M,43.54,2.362289947,g/L,30
Biochemistry,Protein,PROT,PLASMA,RAT,F,64.14,2.566103834,g/L,10
Biochemistry,Protein,PROT,PLASMA,RAT,M,61.58,1.42267354,g/L,10
Biochemistry,Protein,PROT,SERUM,RAT,F,63.78472222,2.271605429,g/L,24
Biochemistry,Protein,PROT,SERUM,RAT,M,59.40077519,1.791565902,g/L,43
Biochemistry,Sodium,SODIUM,PLASMA,DOG,F,147.2444444,0.467387611,mmol/L,12
Biochemistry,Sodium,SODIUM,PLASMA,DOG,M,148.7555556,0.940377458,mmol/L,12
Biochemistry,Sodium,SODIUM,PLASMA,MONKEY,F,145.4333333,2.366944073,mmol/L,12
Biochemistry,Sodium,SODIUM,PLASMA,MOUSE,F,152.82,0.478791582,mmol/L,30
Biochemistry,Sodium,SODIUM,PLASMA,MOUSE,M,154.5,1.043204612,mmol/L,30
Biochemistry,Sodium,SODIUM,PLASMA,RAT,F,143.16,0.865640418,mmol/L,10
Biochemistry,Sodium,SODIUM,PLASMA,RAT,M,145.2,0.545690185,mmol/L,10
Biochemistry,Sodium,SODIUM,SERUM,RAT,F,140.8888889,0.435908365,mmol/L,24
Biochemistry,Sodium,SODIUM,SERUM,RAT,M,141.4186047,0.864016165,mmol/L,43
Biochemistry,Triglycerides,TRIG,PLASMA,DOG,F,0.597777778,0.147445133,mmol/L,12
Biochemistry,Triglycerides,TRIG,PLASMA,DOG,M,0.408888889,0.04416071,mmol/L,12
Biochemistry,Triglycerides,TRIG,PLASMA,MONKEY,F,0.595714286,0.051168172,mmol/L,12
Biochemistry,Triglycerides,TRIG,PLASMA,MOUSE,F,0.682,0.138474447,mmol/L,30
Biochemistry,Triglycerides,TRIG,PLASMA,MOUSE,M,0.418,0.039339372,mmol/L,30
Biochemistry,Triglycerides,TRIG,PLASMA,RAT,F,0.294,0.083692559,mmol/L,10
Biochemistry,Triglycerides,TRIG,PLASMA,RAT,M,0.382,0.034253954,mmol/L,10
Biochemistry,Triglycerides,TRIG,SERUM,RAT,F,0.431944444,0.142265713,mmol/L,24
Biochemistry,Triglycerides,TRIG,SERUM,RAT,M,1.023255814,0.527123314,mmol/L,43
Biochemistry,Urea,UREA,PLASMA,MOUSE,F,8.92,1.401083325,mmol/L,30
Biochemistry,Urea,UREA,PLASMA,MOUSE,M,7.68,0.699950737,mmol/L,30
Biochemistry,Urea,UREA,SERUM,RAT,F,5.494444444,0.328466892,mmol/L,24
Biochemistry,Urea,UREA,SERUM,RAT,M,6.233333333,0.619950502,mmol/L,43
Biochemistry,Urea Nitrogen,UREAN,PLASMA,DOG,F,5.3,0.198987335,mmol/L,12
Biochemistry,Urea Nitrogen,UREAN,PLASMA,DOG,M,5.6,0.924197714,mmol/L,12
Biochemistry,Urea Nitrogen,UREAN,PLASMA,MONKEY,F,5.480952381,0.441002961,mmol/L,12
Biochemistry,Urea Nitrogen,UREAN,PLASMA,RAT,F,7.18,1.195175487,mmol/L,10
Biochemistry,Urea Nitrogen,UREAN,PLASMA,RAT,M,5.16,0.435124503,mmol/L,10
BIOCHEMISTRY,Albumin,ALB,PLASMA,MONKEY,F,43.72875817,2.352766878,g/L,51
BIOCHEMISTRY,Albumin,ALB,PLASMA,MONKEY,M,44.46969697,2.875698324,g/L,55
BIOCHEMISTRY,Albumin,ALB,PLASMA,MOUSE,F,30.58333333,1.44700986,g/L,120
BIOCHEMISTRY,Albumin,ALB,PLASMA,MOUSE,M,29.5,1.856172985,g/L,120
BIOCHEMISTRY,Albumin,ALB,PLASMA,RAT,F,38.1,3.656762244,g/L,90
BIOCHEMISTRY,Albumin,ALB,PLASMA,RAT,M,36.13888889,1.618862721,g/L,108
BIOCHEMISTRY,Albumin,ALB,SERUM,MONKEY,F,4.292857143,0.27243001,g/dL,84
BIOCHEMISTRY,Albumin,ALB,SERUM,MONKEY,M,4.495575397,0.189897368,g/dL,84
BIOCHEMISTRY,Albumin,ALB,SERUM,MOUSE,F,2.920689655,0.251841374,g/dL,58
BIOCHEMISTRY,Albumin,ALB,SERUM,MOUSE,M,2.835483871,0.248995868,g/dL,62
BIOCHEMISTRY,Albumin,ALB,SERUM,RAT,F,3.896,0.560648975,g/dL,100
BIOCHEMISTRY,Albumin,ALB,SERUM,RAT,M,3.755844156,0.350748638,g/dL,77
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,PLASMA,MONKEY,F,1.457748538,0.218192087,RATIO,57
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,PLASMA,MONKEY,M,1.401530055,0.194801013,RATIO,61
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,PLASMA,MOUSE,F,1.973333333,0.198495744,RATIO,120
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,PLASMA,MOUSE,M,1.805,0.188425587,RATIO,120
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,PLASMA,RAT,F,1.382,0.078725136,RATIO,120
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,PLASMA,RAT,M,1.23615942,0.105661437,RATIO,138
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,SERUM,MONKEY,F,1.521031746,0.226628999,RATIO,84
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,SERUM,MONKEY,M,1.581111111,0.258478756,RATIO,84
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,SERUM,MOUSE,F,1.971428571,0.080999053,RATIO,28
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,SERUM,MOUSE,M,1.733333333,0.102833422,RATIO,30
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,SERUM,RAT,F,1.605555556,0.193477363,RATIO,72
BIOCHEMISTRY,Albumin/Globulin,ALBGLOB,SERUM,RAT,M,1.480519481,0.16783369,RATIO,77
BIOCHEMISTRY,Alkaline Phosphatase,ALP,PLASMA,MONKEY,F,425.6432749,132.5381139,U/L,57
BIOCHEMISTRY,Alkaline Phosphatase,ALP,PLASMA,MONKEY,M,545.0081967,153.6233773,U/L,61
BIOCHEMISTRY,Alkaline Phosphatase,ALP,PLASMA,MOUSE,F,68.25,11.39161567,U/L,120
BIOCHEMISTRY,Alkaline Phosphatase,ALP,PLASMA,MOUSE,M,39.16666667,7.003400535,U/L,120
BIOCHEMISTRY,Alkaline Phosphatase,ALP,PLASMA,RAT,F,52,20.06627674,U/L,120
BIOCHEMISTRY,Alkaline Phosphatase,ALP,PLASMA,RAT,M,95.05072464,22.8073725,U/L,138
BIOCHEMISTRY,Alkaline Phosphatase,ALP,SERUM,MONKEY,F,400.328373,138.0161492,U/L,84
BIOCHEMISTRY,Alkaline Phosphatase,ALP,SERUM,MONKEY,M,553.3287698,110.2478583,U/L,84
BIOCHEMISTRY,Alkaline Phosphatase,ALP,SERUM,MOUSE,F,90.56666667,28.42377059,U/L,60
BIOCHEMISTRY,Alkaline Phosphatase,ALP,SERUM,MOUSE,M,69.25806452,27.36153545,U/L,62
BIOCHEMISTRY,Alkaline Phosphatase,ALP,SERUM,RAT,F,76.17,17.36015117,U/L,100
BIOCHEMISTRY,Alkaline Phosphatase,ALP,SERUM,RAT,M,135.8441558,40.11957946,U/L,77
BIOCHEMISTRY,Alanine Aminotransferase,ALT,PLASMA,MONKEY,F,38.59356725,20.69130198,U/L,57
BIOCHEMISTRY,Alanine Aminotransferase,ALT,PLASMA,MONKEY,M,32.1557377,14.56987852,U/L,61
BIOCHEMISTRY,Alanine Aminotransferase,ALT,PLASMA,MOUSE,F,32.5,13.53799509,U/L,120
BIOCHEMISTRY,Alanine Aminotransferase,ALT,PLASMA,MOUSE,M,40.83333333,8.762346232,U/L,120
BIOCHEMISTRY,Alanine Aminotransferase,ALT,PLASMA,RAT,F,34.15,12.58159921,U/L,120
BIOCHEMISTRY,Alanine Aminotransferase,ALT,PLASMA,RAT,M,41.84782609,21.42348536,U/L,138
BIOCHEMISTRY,Alanine Aminotransferase,ALT,SERUM,MONKEY,F,42.67321429,14.7087394,U/L,84
BIOCHEMISTRY,Alanine Aminotransferase,ALT,SERUM,MONKEY,M,47.36944444,15.59790662,U/L,84
BIOCHEMISTRY,Alanine Aminotransferase,ALT,SERUM,MOUSE,F,36.8,19.3669297,U/L,60
BIOCHEMISTRY,Alanine Aminotransferase,ALT,SERUM,MOUSE,M,27,8.317471242,U/L,62
BIOCHEMISTRY,Alanine Aminotransferase,ALT,SERUM,RAT,F,33.48039216,12.75413378,U/L,102
BIOCHEMISTRY,Alanine Aminotransferase,ALT,SERUM,RAT,M,43.19480519,10.70297421,U/L,77
BIOCHEMISTRY,Amylase,AMYLASE,PLASMA,RAT,F,618.3,273.2910726,U/L,30
BIOCHEMISTRY,Amylase,AMYLASE,PLASMA,RAT,M,769.4,249.6297396,U/L,30
BIOCHEMISTRY,Aspartate Aminotransferase,AST,PLASMA,MONKEY,F,47.07309942,12.16605582,U/L,57
BIOCHEMISTRY,Aspartate Aminotransferase,AST,PLASMA,MONKEY,M,47.74590164,13.02503311,U/L,61
BIOCHEMISTRY,Aspartate Aminotransferase,AST,PLASMA,MOUSE,F,60.08333333,14.69269717,U/L,120
BIOCHEMISTRY,Aspartate Aminotransferase,AST,PLASMA,MOUSE,M,53.91666667,11.01914555,U/L,120
BIOCHEMISTRY,Aspartate Aminotransferase,AST,PLASMA,RAT,F,69.675,13.231718,U/L,120
BIOCHEMISTRY,Aspartate Aminotransferase,AST,PLASMA,RAT,M,76.30434783,15.78290616,U/L,138
BIOCHEMISTRY,Aspartate Aminotransferase,AST,SERUM,MONKEY,F,41.24047619,10.74865493,U/L,84
BIOCHEMISTRY,Aspartate Aminotransferase,AST,SERUM,MONKEY,M,46.38452381,10.11106786,U/L,84
BIOCHEMISTRY,Aspartate Aminotransferase,AST,SERUM,MOUSE,F,76.23333333,31.26777009,U/L,60
BIOCHEMISTRY,Aspartate Aminotransferase,AST,SERUM,MOUSE,M,49.51612903,20.07995651,U/L,62
BIOCHEMISTRY,Aspartate Aminotransferase,AST,SERUM,RAT,F,124.4411765,40.96861236,U/L,102
BIOCHEMISTRY,Aspartate Aminotransferase,AST,SERUM,RAT,M,136.5064935,28.37049217,U/L,77
BIOCHEMISTRY,Bilirubin,BILI,PLASMA,MONKEY,F,1.874074074,0.724878565,umol/L,45
BIOCHEMISTRY,Bilirubin,BILI,PLASMA,MONKEY,M,2.146258503,0.336155851,umol/L,49
BIOCHEMISTRY,Bilirubin,BILI,PLASMA,MOUSE,F,0.75,0.597614305,umol/L,120
BIOCHEMISTRY,Bilirubin,BILI,PLASMA,MOUSE,M,1.333333333,0.473381068,umol/L,120
BIOCHEMISTRY,Bilirubin,BILI,PLASMA,RAT,F,0.7,0.460824859,umol/L,90
BIOCHEMISTRY,Bilirubin,BILI,PLASMA,RAT,M,0.601851852,0.467441132,umol/L,108
BIOCHEMISTRY,Bilirubin,BILI,SERUM,MONKEY,F,0.251666667,0.059168963,mg/dL,70
BIOCHEMISTRY,Bilirubin,BILI,SERUM,MONKEY,M,0.254023438,0.053458137,mg/dL,64
BIOCHEMISTRY,Bilirubin,BILI,SERUM,MOUSE,F,0.142857143,0.050395263,mg/dL,28
BIOCHEMISTRY,Bilirubin,BILI,SERUM,MOUSE,M,0.18,0.048725697,mg/dL,32
BIOCHEMISTRY,Bilirubin,BILI,SERUM,RAT,F,0.106666667,0.025370813,mg/dL,30
BIOCHEMISTRY,Calcium,CA,PLASMA,MONKEY,F,2.420163399,0.054219979,mmol/L,51
BIOCHEMISTRY,Calcium,CA,PLASMA,MONKEY,M,2.436333333,0.103792984,mmol/L,55
BIOCHEMISTRY,Calcium,CA,PLASMA,MOUSE,F,2.328333333,0.080003501,mmol/L,120
BIOCHEMISTRY,Calcium,CA,PLASMA,MOUSE,M,2.295833333,0.070467626,mmol/L,120
BIOCHEMISTRY,Calcium,CA,PLASMA,RAT,F,2.5175,0.299535354,mmol/L,120
BIOCHEMISTRY,Calcium,CA,PLASMA,RAT,M,2.53442029,0.089226343,mmol/L,138
BIOCHEMISTRY,Calcium,CA,SERUM,MONKEY,F,9.996071429,0.366051112,mg/dL,84
BIOCHEMISTRY,Calcium,CA,SERUM,MONKEY,M,10.20740079,0.378410095,mg/dL,84
BIOCHEMISTRY,Calcium,CA,SERUM,MOUSE,F,9.242857143,0.491697299,mg/dL,56
BIOCHEMISTRY,Calcium,CA,SERUM,MOUSE,M,9.11,0.383869681,mg/dL,60
BIOCHEMISTRY,Calcium,CA,SERUM,RAT,F,10.287,0.713032364,mg/dL,100
BIOCHEMISTRY,Calcium,CA,SERUM,RAT,M,10.11948052,0.535094424,mg/dL,77
BIOCHEMISTRY,Cholesterol,CHOL,PLASMA,MONKEY,F,3.419346405,0.726788299,mmol/L,51
BIOCHEMISTRY,Cholesterol,CHOL,PLASMA,MONKEY,M,3.158575758,1.036261354,mmol/L,55
BIOCHEMISTRY,Cholesterol,CHOL,PLASMA,MOUSE,F,2.373333333,0.556207647,mmol/L,120
